S_No,Species,Trait,Parameter,"metaQTL name",Chromosome,"Position/Interval in cM/bp","Associated Markers",PVE/R2,"Link to reference"
39,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1B.1,1B,263.3-264.5,"wsnp_Ex_c7447_12751589, BS00067512_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
40,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1B.2,1B,282.24-282.42,"Tdurum_contig57101_1616, BS00098413_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
41,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1B.3,1B,300.65-333.95,"wsnp_Ku_c17017_26019611, Kukri_c20486_255",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
42,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1B.4,1B,342.75-347.85,"Tdurum_contig10362_555, BS00063928_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
43,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1B.5,1B,358.45-358.75,"BS00022775_51, BS00081749_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
44,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1B.6,1B,361-362.8,"wsnp_JD_c1544_2179305, Tdurum_contig67656_58",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
45,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1B.7,1B,373.255-373.345,"BS00096498_51?RAC875, c50684_155",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
46,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1B.8,1B,390.985-391.075,"tplb0053e09_1284, Ra_c18630_284",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
47,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1D.1,1D,87.7-105.7,"GENE3348_203, GENE3348_44",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
48,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1D.2,1D,328.565-331.235,"D_contig32020_138, D_GDEEGVY01DD44S_389",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
49,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2A.1,2A,184.325-191.075,"BS00065276_51, BS00079036_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
50,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2A.2,2A,255.865-275.275,"RAC875_rep_c71350_1712, wsnp_Ex_c41913_48628389",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
51,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2A.3,2A,537.98-610.34,"Xgwm526, IAAV7742",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
52,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2B.1,2B,141.985-148.735,"wsnp_JD_c23434_20022750, BS00009807_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
53,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2B.2,2B,148.42-173.26,"BS00096182_51, wPt5556",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
54,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2B.3,2B,256.37-257.63,"Xwg996, Xbarc91",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
55,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2B.4,2B,258.56-261.56,"Ku_c46339_317, Xbarc1064",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
56,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2B.5,2B,272.23-323.23,"wPt7506, wsnp_Ex_c47157_52450090",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
57,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2B.6,2B,325.89-330.81,"wsnp_Ex_c26818_36041748, wsnp_BG274584B_Ta_2_3",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
58,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2D.1,2D,71.095-90.265,"wsnp_CAP12_c812_428290, PpD_D1",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
59,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2D.2,2D,73.445-111.875,"D_contig29912_428, D_GBB, 4FNX01DJHXL_88",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
60,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2D.3,2D,85.595-131.465,"wsnp_Ex_c29666_38670435, Tdurum_contig5311_112",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
61,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL2D.4,2D,121.71-124.17,"Kukri_rep_c71152_906, BS00046890_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
62,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3A.1,3A,111.255-116.625,"BS00057445_51, Excalibur_c55624_86",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
63,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3A.2,3A,166.255-171.085,"Kukri_c23388_695, CAP8_c359_95",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
64,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3A.3,3A,196.39-207.97,"BobWhite_c47722_613, Kukri_rep_c104383_1216",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
65,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3B.1,3B,47.23-48.85,"BS00017635_51, BS00058861_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
66,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3B.2,3B,112.19-125.75,"BS00027346_51, Kukri_c13830_487",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
67,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3B.3,3B,119.695-161.965,"TA001229, 0435, RAC875_c5799_170",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
68,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3B.4,3B,217.195-237.985,"Kukri_c4345_83, Tdurum_contig10426_280",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
69,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3B.5,3B,251.06-270.62,"BobWhite_c634_420, Bob, White_c16847_99",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
70,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3B.6,3B,520.34-545.66,"RFL_Contig2578_862, RAC875_c7158_687",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
71,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL3D.1,3D,177.49-215.59,"IAAV2729, GENE1919_120",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
72,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4A.1,4A,62.97-108.75,"RAC875_c9110_331, BS00066739_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
73,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4A.2,4A,205.38-214.62,"wsnp_Ex_c3988_7221220, Excalibur_c7034_234",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
74,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4A.3,4A,224.08-225.7,"Excalibur_c53864_331, CAP11_c18_238",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
75,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4A.4,4A,236.57-240.65,"RAC875_c17197_504, RAC875_c49370_327",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
76,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4A.5,4A,289.9-294.4,"BS00022839_51, wPt6303",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
77,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4A.6,4A,297.54-303.12,"BobWhite_c19919_572, Bob, White_rep_c49931_364",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
78,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4A.7,4A,377.31-386.07,"wsnp_Ex_c10390_17007929, wsnp_BE591195A_Ta_1_1",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
79,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4B.1,4B,117-127.5,"Excalibur_c24115_858, BS00022431_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
80,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4B.2,4B,129.075-130.545,"wsnp_BE442666B_Ta_2_2, GENE_4933_1085",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
81,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4B.3,4B,131.01-146.13,"BS00084070_51, Rht1",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
82,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4B.4,4B,160.265-173.615,"BS00030842_51, D_contig26957_307",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
83,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4B.5,4B,170.44-173.38,"BS00049907_51, BS00089409_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
84,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4B.6,4B,173.945-174.815,"Xcsu25, Xbcd1262",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
85,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4B.7,4B,198.585-218.835,"BS00020575_51, RFL_Contig3363_1294",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
86,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4D.1,4D,67.39-79.21,"Rht2, GENE3024_59",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
87,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4D.2,4D,99.55-104.89,"Xwmc48, BS00094770_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
88,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4D.3,4D,120.44-122.84,"BobWhite_c4264_200, RAC875_c40619_130",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
89,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL4D.4,4D,123.74-123.86,"BS00065818_51, Xcfd23",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
90,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL5A.1,5A,75.6-92.22,"Xbarc232, wsnp_BG607308A_Ta_2_2",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
91,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL5A.2,5A,91.12-125.56,"Tdurum_contig10843_745, wsnp_Ku_c6977_12078885",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
92,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL5A.3,5A,278.74-294.94,"GENE3493_612, wsnp_Ex_c19647_28632894",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
93,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL5A.4,5A,301.505-302.615,"RFL_Contig5137_602, wsnp_Ex_rep_c67292_65834396",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
94,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL5A.5,5A,299.44-309.58,"Kukri_c40919_372, BS00109052_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
95,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL5A.6,5A,368.575-383.725,"Kukri_rep_c107435_940, BobWhite_c5917_529",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
96,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL5B.1,5B,533.65-545.65,"wPt2041, Xwmc682",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
97,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL5B.2,5B,542.065-545.035,"wsnp_Ex_c5915_10378807, Xbarc1032",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
98,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL5D.1,5D,194.955-247.665,"Tplb0041f21_972, Xgdm63",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
99,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6A.1,6A,192.66-256.5,"Tdurum_contig67686_1149, wsnp_Ku_c38215_46911010",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
100,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6A.2,6A,356.52-366.84,"BS00065082_51, wsnp_JD_c22766_19622512",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
101,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6B.1,6B,84.82-98.26,"Tdurum_contig62941_85, Excalibur_c61792_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
102,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6B.2,6B,85.39-160.57,"Tdurum_contig9612_971, RFL_Contig2024_316",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
103,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6B.3,6B,311.005-330.295,"wsnp_BQ171182B_Ta_1_1, BS00011479_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
104,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6B.4,6B,333.565-333.835,"wPt4924, RAC875_rep_c69963_514",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
105,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6D.1,6D,83.9-142.46,"D_F5XZDLF02HW3JD_131?, wsnp_RFL_Contig3793_4087750",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
106,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6D.2,6D,283.295-292.025,"Xcfd190, Xgwm325",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
107,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6D.3,6D,292.845-314.235,"Ku_c13130_1319, CAP11_c4727_205",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
108,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL6D.4,6D,330.61-338.35,"Xgwm469, BS00021970_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
109,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7A.1,7A,186.855-196.965,"Kukri_c16695_51, BS00022076_51",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
110,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7A.2,7A,326.545-330.295,"BobWhite_c8366_563, Ra_c8985_557",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
111,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7A.3,7A,408.96-419.7,"wsnp_Ku_c10202_16937059, Kukri_rep_c105157_460",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
112,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7A.4,7A,421.61-422.81,"wsnp_CAP11_c2211_1157166, wsnp_Ex_c5448_9619922",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
113,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7A.5,7A,429.01-433.39,"BS00084605_51, Xbarc29",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
114,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7A.6,7A,442.75-450.19,"BS00022202_51, wsnp_Ra_c8394_14242442",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
115,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7A.7,7A,520.495-527.005,"Xgwm332, Kukri_c62757_198",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
116,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7B.1,7B,126.655-168.745,"Ku_c9561_699, RFL_Contig124_558",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
117,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7B.2,7B,302.45-326.81,"wPt2356, Excalibur_rep_c88230_511",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
118,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7B.3,7B,309.365-338.795,"wPt3093, Kukri_c16034_113",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
119,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7B.4,7B,326.25-350.19,"Xbarc20, Excalibur_rep_c74778_252",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
120,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7B.5,7B,348.355-354.505,"BS00023023_51, RAC875_c40569_716",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
121,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7D.1,7D,164.76-165.96,"wsnp_CAP11_c2839_1425826, Tdurum_contig11727_274",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
122,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7D.2,7D,209.795-227.405,"Xbarc70, Xbarc87",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
123,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL7D.3,7D,228.275-228.485,"Excalibur_c22419_460, D_GDS7LZN02IKCKF_139",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
124,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL2,1A,60,", ",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
125,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL3,1A,89,"gwm497, wmc716",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
126,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL11,2A,56,"wmc296, wmc644",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
127,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL14,2B,10,"gwm210, gwm614",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
128,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL16,2B,49,"gwm410, barc183",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
129,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL18,2B,101,"wmc361, barc159",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
130,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL21,2D,64,"gwm515, gwm358",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
131,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL22,2D,91,"gwm539, gwm301",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
132,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL23,3A,1,"wmc11, cfd9",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
133,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL29,3D,26,"cfd201, gdm136",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
134,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL42,5B,57,"gwm159, wmc616",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
