"id","mqtl_name","chromosome","trait","parameter","category","position_interval","parsed_start","parsed_end","inferred_unit","reason","reference","doi","source_file","needs_review"
"M00059","MQTL2","2D","Yield","Grain yield and related traits","Yield","5.31",5.31,5.31,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00060","MQTL3","2D","Yield","Grain yield and related traits","Yield","16.1",16.1,16.1,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00061","MQTL4","2D","Yield","Grain yield and related traits","Yield","25.82",25.82,25.82,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00062","MQTL5","2D","Yield","Grain yield and related traits","Yield","41.68",41.68,41.68,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00063","MQTL6","2D","Yield","Grain yield and related traits","Yield","72.57",72.57,72.57,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00064","MQTL1","3A","Yield","Grain yield and related traits","Yield","19.4",19.4,19.4,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00065","MQTL2","3A","Yield","Grain yield and related traits","Yield","36.55",36.55,36.55,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00066","MQTL3","3A","Yield","Grain yield and related traits","Yield","55.85",55.85,55.85,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00067","MQTL4","3A","Yield","Grain yield and related traits","Yield","62.06",62.06,62.06,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00068","MQTL5","3A","Yield","Grain yield and related traits","Yield","66.76",66.76,66.76,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00069","MQTL6","3A","Yield","Grain yield and related traits","Yield","81.36",81.36,81.36,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00070","MQTL7","3A","Yield","Grain yield and related traits","Yield","118.36",118.36,118.36,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00071","MQTL1","3B","Yield","Grain yield and related traits","Yield","6.84",6.84,6.84,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00072","MQTL2","3B","Yield","Grain yield and related traits","Yield","19.56",19.56,19.56,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00073","MQTL3","3B","Yield","Grain yield and related traits","Yield","32.93",32.93,32.93,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00074","MQTL4","3B","Yield","Grain yield and related traits","Yield","59.07",59.07,59.07,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00075","MQTL5","3B","Yield","Grain yield and related traits","Yield","69.47",69.47,69.47,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00076","MQTL6","3B","Yield","Grain yield and related traits","Yield","97.61",97.61,97.61,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00077","MQTL7","3B","Yield","Grain yield and related traits","Yield","124.6",124.6,124.6,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00078","MQTL1","3D","Yield","Grain yield and related traits","Yield","12.31",12.31,12.31,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00079","MQTL2","3D","Yield","Grain yield and related traits","Yield","44.31",44.31,44.31,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00080","MQTL3","3D","Yield","Grain yield and related traits","Yield","63.3",63.3,63.3,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00081","MQTL4","3D","Yield","Grain yield and related traits","Yield","121.28",121.28,121.28,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00082","MQTL1","4A","Yield","Grain yield and related traits","Yield","16.35",16.35,16.35,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00083","MQTL2","4A","Yield","Grain yield and related traits","Yield","22.57",22.57,22.57,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00084","MQTL3","4A","Yield","Grain yield and related traits","Yield","29.05",29.05,29.05,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00085","MQTL4","4A","Yield","Grain yield and related traits","Yield","41.36",41.36,41.36,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00086","MQTL5","4A","Yield","Grain yield and related traits","Yield","48.59",48.59,48.59,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00087","MQTL6","4A","Yield","Grain yield and related traits","Yield","57.56",57.56,57.56,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00088","MQTL7","4A","Yield","Grain yield and related traits","Yield","67.82",67.82,67.82,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00089","MQTL8","4A","Yield","Grain yield and related traits","Yield","93.54",93.54,93.54,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00090","MQTL1","4B","Yield","Grain yield and related traits","Yield","10.5",10.5,10.5,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00091","MQTL2","4B","Yield","Grain yield and related traits","Yield","28.21",28.21,28.21,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00092","MQTL3","4B","Yield","Grain yield and related traits","Yield","41.45",41.45,41.45,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00093","MQTL4","4B","Yield","Grain yield and related traits","Yield","47.68",47.68,47.68,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00094","MQTL5","4B","Yield","Grain yield and related traits","Yield","51.63",51.63,51.63,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00095","MQTL6","4B","Yield","Grain yield and related traits","Yield","82.83",82.83,82.83,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00096","MQTL1","4D","Yield","Grain yield and related traits","Yield","10.16",10.16,10.16,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00097","MQTL2","4D","Yield","Grain yield and related traits","Yield","30.24",30.24,30.24,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00098","MQTL3","4D","Yield","Grain yield and related traits","Yield","39.08",39.08,39.08,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00099","MQTL4","4D","Yield","Grain yield and related traits","Yield","62.12",62.12,62.12,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00100","MQTL5","4D","Yield","Grain yield and related traits","Yield","83.31",83.31,83.31,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00101","MQTL1","5A","Yield","Grain yield and related traits","Yield","0",0,0,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00102","MQTL2","5A","Yield","Grain yield and related traits","Yield","42.04",42.04,42.04,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00103","MQTL3","5A","Yield","Grain yield and related traits","Yield","51.31",51.31,51.31,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00104","MQTL4","5A","Yield","Grain yield and related traits","Yield","63.78",63.78,63.78,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00105","MQTL5","5A","Yield","Grain yield and related traits","Yield","77.15",77.15,77.15,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00106","MQTL6","5A","Yield","Grain yield and related traits","Yield","90.18",90.18,90.18,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00107","MQTL7","5A","Yield","Grain yield and related traits","Yield","120.42",120.42,120.42,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00108","MQTL1","5B","Yield","Grain yield and related traits","Yield","9.73",9.73,9.73,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00109","MQTL2","5B","Yield","Grain yield and related traits","Yield","20.78",20.78,20.78,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00110","MQTL3","5B","Yield","Grain yield and related traits","Yield","39.66",39.66,39.66,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00111","MQTL4","5B","Yield","Grain yield and related traits","Yield","54.59",54.59,54.59,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00112","MQTL5","5B","Yield","Grain yield and related traits","Yield","59.71",59.71,59.71,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00113","MQTL6","5B","Yield","Grain yield and related traits","Yield","65.17",65.17,65.17,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00114","MQTL7","5B","Yield","Grain yield and related traits","Yield","77.66",77.66,77.66,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00115","MQTL8","5B","Yield","Grain yield and related traits","Yield","93.08",93.08,93.08,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00116","MQTL9","5B","Yield","Grain yield and related traits","Yield","128.96",128.96,128.96,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00117","MQTL1","5D","Yield","Grain yield and related traits","Yield","0.32",0.32,0.32,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00118","MQTL2","5D","Yield","Grain yield and related traits","Yield","15.59",15.59,15.59,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00119","MQTL3","5D","Yield","Grain yield and related traits","Yield","23.91",23.91,23.91,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00120","MQTL4","5D","Yield","Grain yield and related traits","Yield","46.72",46.72,46.72,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00121","MQTL5","5D","Yield","Grain yield and related traits","Yield","63.98",63.98,63.98,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00122","MQTL6","5D","Yield","Grain yield and related traits","Yield","71.48",71.48,71.48,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00123","MQTL7","5D","Yield","Grain yield and related traits","Yield","95.69",95.69,95.69,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00124","MQTL8","5D","Yield","Grain yield and related traits","Yield","121.09",121.09,121.09,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00125","MQTL1","6A","Yield","Grain yield and related traits","Yield","6.15",6.15,6.15,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00126","MQTL2","6A","Yield","Grain yield and related traits","Yield","28.81",28.81,28.81,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00127","MQTL3","6A","Yield","Grain yield and related traits","Yield","40.96",40.96,40.96,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00128","MQTL4","6A","Yield","Grain yield and related traits","Yield","49.75",49.75,49.75,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00129","MQTL5","6A","Yield","Grain yield and related traits","Yield","56.62",56.62,56.62,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00130","MQTL6","6A","Yield","Grain yield and related traits","Yield","68.43",68.43,68.43,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00131","MQTL7","6A","Yield","Grain yield and related traits","Yield","80.4",80.4,80.4,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00132","MQTL8","6A","Yield","Grain yield and related traits","Yield","107.44",107.44,107.44,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00133","MQTL1","6B","Yield","Grain yield and related traits","Yield","5.05",5.05,5.05,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00134","MQTL2","6B","Yield","Grain yield and related traits","Yield","30.9",30.9,30.9,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00135","MQTL3","6B","Yield","Grain yield and related traits","Yield","40.57",40.57,40.57,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00136","MQTL4","6B","Yield","Grain yield and related traits","Yield","51.44",51.44,51.44,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00137","MQTL5","6B","Yield","Grain yield and related traits","Yield","66.49",66.49,66.49,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00138","MQTL6","6B","Yield","Grain yield and related traits","Yield","76.71",76.71,76.71,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00139","MQTL1","6D","Yield","Grain yield and related traits","Yield","14.86",14.86,14.86,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00140","MQTL2","6D","Yield","Grain yield and related traits","Yield","37.21",37.21,37.21,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00141","MQTL3","6D","Yield","Grain yield and related traits","Yield","64.56",64.56,64.56,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00142","MQTL4","6D","Yield","Grain yield and related traits","Yield","70.17",70.17,70.17,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00143","MQTL5","6D","Yield","Grain yield and related traits","Yield","84.13",84.13,84.13,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00144","MQTL6","6D","Yield","Grain yield and related traits","Yield","105.95",105.95,105.95,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00145","MQTL7","6D","Yield","Grain yield and related traits","Yield","114.41",114.41,114.41,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00146","MQTL8","6D","Yield","Grain yield and related traits","Yield","203",203,203,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00147","MQTL1","7A","Yield","Grain yield and related traits","Yield","17.69",17.69,17.69,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00148","MQTL2","7A","Yield","Grain yield and related traits","Yield","37.87",37.87,37.87,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00149","MQTL3","7A","Yield","Grain yield and related traits","Yield","61.77",61.77,61.77,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00150","MQTL4","7A","Yield","Grain yield and related traits","Yield","73.2",73.2,73.2,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00151","MQTL5","7A","Yield","Grain yield and related traits","Yield","86.3",86.3,86.3,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00152","MQTL6","7A","Yield","Grain yield and related traits","Yield","100.14",100.14,100.14,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00153","MQTL7","7A","Yield","Grain yield and related traits","Yield","116.85",116.85,116.85,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00154","MQTL8","7A","Yield","Grain yield and related traits","Yield","135.09",135.09,135.09,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00155","MQTL1","7B","Yield","Grain yield and related traits","Yield","6.45",6.45,6.45,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00156","MQTL2","7B","Yield","Grain yield and related traits","Yield","28.48",28.48,28.48,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00157","MQTL3","7B","Yield","Grain yield and related traits","Yield","44.61",44.61,44.61,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00158","MQTL4","7B","Yield","Grain yield and related traits","Yield","63.48",63.48,63.48,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00159","MQTL5","7B","Yield","Grain yield and related traits","Yield","69.28",69.28,69.28,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
