id,species,trait,parameter,mqtl_name,chromosome,position_interval,associated_markers,pve,candidate_gene,reference,doi,source_file
M00057,Triticum aestivum,Yield,Grain yield and related traits,MQTL-5,2B,142.27,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00058,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,2D,1.81,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00059,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,2D,5.31,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00060,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,2D,16.1,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00061,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,2D,25.82,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00062,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,2D,41.68,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00063,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,2D,72.57,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00064,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,3A,19.4,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00065,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,3A,36.55,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00066,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,3A,55.85,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00067,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,3A,62.06,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00068,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,3A,66.76,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00069,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,3A,81.36,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00070,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,3A,118.36,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00071,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,3B,6.84,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00072,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,3B,19.56,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00073,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,3B,32.93,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00074,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,3B,59.07,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00075,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,3B,69.47,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00076,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,3B,97.61,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00077,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,3B,124.6,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00078,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,3D,12.31,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00079,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,3D,44.31,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00080,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,3D,63.3,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00081,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,3D,121.28,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00082,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,4A,16.35,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00083,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,4A,22.57,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00084,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,4A,29.05,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00085,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,4A,41.36,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00086,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,4A,48.59,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00087,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,4A,57.56,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00088,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,4A,67.82,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00089,Triticum aestivum,Yield,Grain yield and related traits,MQTL8,4A,93.54,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00090,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,4B,10.5,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00091,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,4B,28.21,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00092,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,4B,41.45,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00093,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,4B,47.68,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00094,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,4B,51.63,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00095,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,4B,82.83,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00096,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,4D,10.16,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00097,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,4D,30.24,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00098,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,4D,39.08,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00099,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,4D,62.12,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00100,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,4D,83.31,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00101,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,5A,0,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00102,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,5A,42.04,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00103,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,5A,51.31,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00104,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,5A,63.78,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00105,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,5A,77.15,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00106,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,5A,90.18,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00107,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,5A,120.42,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00108,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,5B,9.73,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00109,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,5B,20.78,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00110,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,5B,39.66,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00111,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,5B,54.59,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00112,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,5B,59.71,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00113,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,5B,65.17,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00114,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,5B,77.66,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00115,Triticum aestivum,Yield,Grain yield and related traits,MQTL8,5B,93.08,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00116,Triticum aestivum,Yield,Grain yield and related traits,MQTL9,5B,128.96,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00117,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,5D,0.32,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00118,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,5D,15.59,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00119,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,5D,23.91,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00120,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,5D,46.72,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00121,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,5D,63.98,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00122,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,5D,71.48,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00123,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,5D,95.69,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00124,Triticum aestivum,Yield,Grain yield and related traits,MQTL8,5D,121.09,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00125,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,6A,6.15,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00126,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,6A,28.81,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00127,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,6A,40.96,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00128,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,6A,49.75,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00129,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,6A,56.62,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00130,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,6A,68.43,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00131,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,6A,80.4,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00132,Triticum aestivum,Yield,Grain yield and related traits,MQTL8,6A,107.44,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00133,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,6B,5.05,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00134,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,6B,30.9,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00135,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,6B,40.57,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00136,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,6B,51.44,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00137,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,6B,66.49,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00138,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,6B,76.71,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00139,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,6D,14.86,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00140,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,6D,37.21,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00141,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,6D,64.56,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00142,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,6D,70.17,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00143,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,6D,84.13,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00144,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,6D,105.95,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00145,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,6D,114.41,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00146,Triticum aestivum,Yield,Grain yield and related traits,MQTL8,6D,203,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00147,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,7A,17.69,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00148,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,7A,37.87,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00149,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,7A,61.77,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00150,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,7A,73.2,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00151,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,7A,86.3,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00152,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,7A,100.14,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00153,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,7A,116.85,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00154,Triticum aestivum,Yield,Grain yield and related traits,MQTL8,7A,135.09,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00155,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,7B,6.45,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00156,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,7B,28.48,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00157,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,7B,44.61,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00158,Triticum aestivum,Yield,Grain yield and related traits,MQTL4,7B,63.48,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00159,Triticum aestivum,Yield,Grain yield and related traits,MQTL5,7B,69.28,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00160,Triticum aestivum,Yield,Grain yield and related traits,MQTL6,7B,89.33,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00161,Triticum aestivum,Yield,Grain yield and related traits,MQTL7,7B,100.38,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00162,Triticum aestivum,Yield,Grain yield and related traits,MQTL8,7B,112.84,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00163,Triticum aestivum,Yield,Grain yield and related traits,MQTL9,7B,136.91,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00164,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,7D,25.56,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00165,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,7D,45.76,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
