id,species,trait,parameter,cross,population,method,qtl1,chromosome1,position_interval1,markers1,qtl2,chromosome2,position_interval2,markers2,lod,pve,reference,doi,source_file
E00038,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,5A,195,chr5A_678268974/chr5A_680669630,,5A,,chr5A_678268974/chr5A_680669630,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00039,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,2A,65,chr2A_728790740/chr2A_726859063,,2A,,chr2A_728790740/chr2A_726859063,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00040,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,2D,145,chr2D_426432725/chr2D_428762613,,2D,,chr2D_426432725/chr2D_428762613,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00041,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,5B,5,chr5B_6649988/chr5B_7080677,,5B,,chr5B_6649988/chr5B_7080677,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00042,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,1D,10,chr1D_16671624/chr1D_16816036,,1D,,chr1D_16671624/chr1D_16816036,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00043,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,3D,25,chr3D_23877742/chr3D_26681972,,3D,,chr3D_23877742/chr3D_26681972,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00044,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,7B,165,chr7B_730172104/chr7B_730376977,,7B,,chr7B_730172104/chr7B_730376977,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00045,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,7B,40,chr7B_60823527/chr7B_593077776,,7B,,chr7B_60823527/chr7B_593077776,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00046,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,3D,0,chr3D_7660946/chr3D_7444247,,3D,,chr3D_7660946/chr3D_7444247,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00047,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,5D,100,chr5D_544969068/chr5D_548098187,,5D,,chr5D_544969068/chr5D_548098187,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00048,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,6B,80,chr6B_678933885/chr6B_680796428,,6B,,chr6B_678933885/chr6B_680796428,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00049,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,6B,75,chr6B_669889425/chr6B_673765895,,6B,,chr6B_669889425/chr6B_673765895,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00050,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,5B,145,chr5B_382947770/chr5B_399399033,,5B,,chr5B_382947770/chr5B_399399033,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00051,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,7A,50,chr7A_40405343/chr7A_42897888,,7A,,chr7A_40405343/chr7A_42897888,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00052,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4A,375,chr4A_708146969/chr4A_714382901,,4A,,chr4A_708146969/chr4A_714382901,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00053,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2D,95,chr2D_70127303/chr2D_70947210,,2D,,chr2D_70127303/chr2D_70947210,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00054,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,3D,35,chr3D_31776886/chr3D_441466121,,3D,,chr3D_31776886/chr3D_441466121,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00055,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,3A,35,chr3A_9527557/chr3A_20395026,,3A,,chr3A_9527557/chr3A_20395026,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00056,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4B,370,chr4B_667257525/chr4B_667890569,,4B,,chr4B_667257525/chr4B_667890569,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00057,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,3B,110,chr3B_563291707/chr3B_567543315,,3B,,chr3B_563291707/chr3B_567543315,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00058,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4A,335,chr4A_693036830/chr4A_693357192,,4A,,chr4A_693036830/chr4A_693357192,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00059,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2A,65,chr2A_728790740/chr2A_726859063,,2A,,chr2A_728790740/chr2A_726859063,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00060,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,1A,45,chr1A_24247163/chr1A_25703987,,1A,,chr1A_24247163/chr1A_25703987,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00061,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4B,20,chr4B_15261494/chr4B_15754013,,4B,,chr4B_15261494/chr4B_15754013,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00062,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,1A,20,chr1A_15513003/chr1A_15422767,,1A,,chr1A_15513003/chr1A_15422767,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00063,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2A,225,chr2A_1241354/chr2A_2638650,,2A,,chr2A_1241354/chr2A_2638650,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00064,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2D,120,chr2D_154407178/chr2D_147156276,,2D,,chr2D_154407178/chr2D_147156276,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00065,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,5B,115,chr5B_697609285/chr5B_695755391,,5B,,chr5B_697609285/chr5B_695755391,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00066,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4B,315,chr4B_649679432/chr4B_656219346,,4B,,chr4B_649679432/chr4B_656219346,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00067,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,3B,255,chr3B_751010908/chr3B_751011980,,3B,,chr3B_751010908/chr3B_751011980,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00068,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4A,25,chr4A_36176781/chr4A_36414430,,4A,,chr4A_36176781/chr4A_36414430,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00069,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,3D,25,chr3D_23877742/chr3D_26681972,,3D,,chr3D_23877742/chr3D_26681972,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00070,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4A,80,chr4A_553781412/chr4A_563155559,,4A,,chr4A_553781412/chr4A_563155559,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00071,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,1A,75,chr1A_35726856/chr1A_41785585,,1A,,chr1A_35726856/chr1A_41785585,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00072,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,3B,15,chr3B_14266940/chr3B_18427345,,3B,,chr3B_14266940/chr3B_18427345,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00073,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2B,245,chr2B_754152973/chr2B_754568796,,2B,,chr2B_754152973/chr2B_754568796,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00074,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2D,90,chr2D_62979427/chr2D_67401679,,2D,,chr2D_62979427/chr2D_67401679,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00075,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2B,25,chr2B_18326111-chr2B_18359423,,2B,,chr2B_18326111-chr2B_18359423,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00076,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,6A,10,chr6A_17922624-chr6A_17933319,,6A,,chr6A_17922624-chr6A_17933319,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00077,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4A,100,chr4A_514116271-chr4A_493868671,,4A,,chr4A_514116271-chr4A_493868671,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00078,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,5B,5,chr5B_6649988-chr5B_7080677,,5B,,chr5B_6649988-chr5B_7080677,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00079,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4A,315,chr4A_648148606-chr4A_647841082,,4A,,chr4A_648148606-chr4A_647841082,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00080,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,1D,25,chr1D_30188922-chr1D_37284558,,1D,,chr1D_30188922-chr1D_37284558,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00081,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2D,145,chr2D_426432725-chr2D_428762613,,2D,,chr2D_426432725-chr2D_428762613,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00082,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,5B,115,chr5B_103739952-chr5B_206655342,,5B,,chr5B_103739952-chr5B_206655342,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00083,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,3D,60,chr3D_461076519-chr3D_460784968,,3D,,chr3D_461076519-chr3D_460784968,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00084,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,1B,0,chr1B_471584104-chr1B_471747282,,1B,,chr1B_471584104-chr1B_471747282,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00085,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,6B,55,chr6B_127256264-chr6B_250132060,,6B,,chr6B_127256264-chr6B_250132060,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00086,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4D,75,chr4D_474703373-chr4D_483791097,,4D,,chr4D_474703373-chr4D_483791097,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00087,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2A,40,chr2A_746282749-chr2A_744799853,,2A,,chr2A_746282749-chr2A_744799853,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00088,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,4B,265,chr4B_612610190-chr4B_615219701,,4B,,chr4B_612610190-chr4B_615219701,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00089,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,3A,40,chr3A_21868011-chr3A_24128823,,3A,,chr3A_21868011-chr3A_24128823,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00090,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,3B,10,chr3B_14266940-chr3B_18427345,,3B,,chr3B_14266940-chr3B_18427345,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00091,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,1B,75,chr1B_662005728-chr1B_664884882,,1B,,chr1B_662005728-chr1B_664884882,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00092,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,5B,65,chr5B_680089493-chr5B_679984542,,5B,,chr5B_680089493-chr5B_679984542,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00093,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2B,235,chr2B_743132796-chr2B_743376976,,2B,,chr2B_743132796-chr2B_743376976,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00094,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,5B,55,chr5B_670075057-chr5B_670130271,,5B,,chr5B_670075057-chr5B_670130271,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00095,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,7D,245,chr7D_555668820-chr7D_557304948,,7D,,chr7D_555668820-chr7D_557304948,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00096,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,6D,50,chr6D_399802196-chr6D_404214227,,6D,,chr6D_399802196-chr6D_404214227,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00097,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,7D,355,chr7D_628852776-chr7D_630972219,,7D,,chr7D_628852776-chr7D_630972219,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00098,Triticum aestivum,Yield,biomass grain yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,5A,15,chr5A_9201612-chr5A_9594127,,5A,,chr5A_9201612-chr5A_9594127,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
