gene_id,chromosome,genome,start,end,n_homoeolog_partners,retention_class,gc_content
TraesCS1A02G006500,1A,A,3579010,3582502,1,partial,42.57
TraesCS1A02G006700,1A,A,3614659,3618613,2,triad,43.89
TraesCS1A02G006800,1A,A,3653512,3657388,1,partial,43.85
TraesCS1A02G006900,1A,A,3669097,3671050,1,partial,41.91
TraesCS1A02G007000,1A,A,3677964,3679612,1,partial,43.18
TraesCS1A02G007100,1A,A,3698525,3700965,0,singleton,41.95
TraesCS1A02G007200,1A,A,3776339,3777238,0,singleton,48.78
TraesCS1A02G007236,1A,A,3795056,3795948,0,singleton,49.38
TraesCS1A02G007300,1A,A,3845783,3847150,2,triad,49.64
TraesCS1A02G007344,1A,A,3910395,3911267,0,singleton,50.4
TraesCS1A02G007400,1A,A,4033339,4034196,2,triad,50.7
TraesCS1A02G007405,1A,A,4041324,4042181,2,triad,50.47
TraesCS1A02G007500,1A,A,4045713,4048684,2,triad,45.66
TraesCS1A02G007600,1A,A,4047966,4048290,2,triad,47.38
TraesCS1A02G007700,1A,A,4053221,4053823,2,triad,52.07
TraesCS1A02G007800,1A,A,4054742,4054960,1,partial,54.34
TraesCS1A02G007900,1A,A,4063197,4063406,2,triad,62.38
TraesCS1A02G007934,1A,A,4095724,4096825,0,singleton,47.6
TraesCS1A02G008000,1A,A,4202212,4203588,0,singleton,47.41
TraesCS1A02G008100,1A,A,4497200,4503419,1,partial,47.2
TraesCS1A02G008200,1A,A,4502605,4504697,1,partial,45.15
TraesCS1A02G008300,1A,A,4549622,4554906,2,triad,42.71
TraesCS1A02G008353,1A,A,4661621,4663924,2,triad,43.23
TraesCS1A02G008400,1A,A,4804101,4805663,1,partial,58.67
TraesCS1A02G008500,1A,A,4811264,4813128,2,triad,62.09
TraesCS1A02G008600,1A,A,5023873,5029289,0,singleton,36.74
TraesCS1A02G008700,1A,A,5132497,5132754,0,singleton,55.43
TraesCS1A02G008800,1A,A,5150710,5153197,2,triad,38.59
TraesCS1A02G008900,1A,A,5233610,5235545,1,partial,42.56
TraesCS1A02G009000,1A,A,5491027,5495112,2,triad,45.62
TraesCS1A02G009100,1A,A,5496528,5499983,1,partial,47.4
TraesCS1A02G009200,1A,A,5500650,5501198,1,partial,61.57
TraesCS1A02G009300,1A,A,5501535,5507742,1,partial,46.39
TraesCS1A02G009320,1A,A,5521573,5527792,2,triad,44.16
TraesCS1A02G009400,1A,A,5645211,5650510,2,triad,44.19
TraesCS1A02G009500,1A,A,5871427,5874711,0,singleton,41.25
TraesCS1A02G009600,1A,A,6007940,6012646,2,triad,43.81
TraesCS1A02G009700,1A,A,6022742,6023437,2,triad,53.45
TraesCS1A02G009900,1A,A,6151748,6159140,1,partial,43.24
TraesCS1A02G010000,1A,A,6223835,6224092,0,singleton,56.59
TraesCS1A02G010100,1A,A,6293918,6294835,2,triad,45.42
TraesCS1A02G010200,1A,A,6317837,6324253,2,triad,49.26
TraesCS1A02G010300,1A,A,6332192,6336859,1,partial,48.69
TraesCS1A02G010400,1A,A,6336481,6345966,0,singleton,44.38
TraesCS1A02G010500,1A,A,6422072,6423492,2,triad,62.49
TraesCS1A02G010600,1A,A,6438286,6439101,0,singleton,41.79
TraesCS1A02G010700,1A,A,6472647,6475129,0,singleton,41.89
TraesCS1A02G010800,1A,A,6497878,6500095,2,triad,42.97
TraesCS1A02G010900,1A,A,6517423,6518340,0,singleton,48.8
TraesCS1A02G010905,1A,A,6561797,6562688,0,singleton,48.54
TraesCS1A02G011100,1A,A,6566139,6567972,0,singleton,47.98
TraesCS1A02G011200,1A,A,6569388,6576401,2,triad,42.25
TraesCS1A02G011300,1A,A,6654552,6655482,1,partial,46.62
TraesCS1A02G011400,1A,A,6760744,6764265,1,partial,43.16
TraesCS1A02G011500,1A,A,6765240,6765452,1,partial,63.38
TraesCS1A02G011600,1A,A,6766340,6766555,1,partial,62.5
TraesCS1A02G011700,1A,A,6773469,6773978,1,partial,74.9
TraesCS1A02G011800,1A,A,6788571,6793542,2,triad,54.8
TraesCS1A02G011900,1A,A,6883652,6887141,1,partial,44.7
TraesCS1A02G012000,1A,A,6899512,6903022,2,triad,45.0
TraesCS1A02G012100,1A,A,6914044,6915989,0,singleton,51.44
TraesCS1A02G012200,1A,A,7100687,7101431,2,triad,49.93
TraesCS1A02G012300,1A,A,7108623,7109053,2,triad,55.92
TraesCS1A02G012400,1A,A,7109888,7115465,2,triad,42.65
TraesCS1A02G012500,1A,A,7178200,7184960,2,triad,44.3
TraesCS1A02G012600,1A,A,7185497,7186507,2,triad,65.38
TraesCS1A02G012700,1A,A,7228719,7229943,0,singleton,51.59
TraesCS1A02G012800,1A,A,7274801,7275803,0,singleton,55.83
TraesCS1A02G012900,1A,A,7276861,7279534,1,partial,46.19
TraesCS1A02G013000,1A,A,7281836,7294634,2,triad,45.55
TraesCS1A02G013100,1A,A,7311700,7312269,0,singleton,66.49
TraesCS1A02G013200,1A,A,7315101,7325769,2,triad,38.47
TraesCS1A02G013300,1A,A,7522337,7522531,0,singleton,48.72
TraesCS1A02G013400,1A,A,7525852,7526447,2,triad,41.95
TraesCS1A02G013500,1A,A,7536155,7536445,0,singleton,60.14
TraesCS1A02G013600,1A,A,7642614,7643473,0,singleton,52.79
TraesCS1A02G013700,1A,A,7651464,7654123,2,triad,45.3
TraesCS1A02G013800,1A,A,7657145,7669998,2,triad,42.36
TraesCS1A02G013900,1A,A,7675688,7677264,1,partial,40.01
TraesCS1A02G014000,1A,A,7685115,7685702,2,triad,55.1
TraesCS1A02G014100,1A,A,7697292,7698190,0,singleton,57.73
TraesCS1A02G014200,1A,A,7777149,7778389,0,singleton,50.93
TraesCS1A02G014300,1A,A,7811031,7813406,1,partial,63.43
ENSRNA050013941,1A,A,7813598,7813712,0,singleton,41.74
TraesCS1A02G014400,1A,A,7830271,7830939,0,singleton,45.29
TraesCS1A02G014500,1A,A,7834685,7837216,2,triad,45.81
TraesCS1A02G014700,1A,A,7956960,7957283,2,triad,48.46
TraesCS1A02G014800,1A,A,7962375,7963154,2,triad,55.77
TraesCS1A02G014900,1A,A,8141960,8144500,1,partial,45.85
TraesCS1A02G015000,1A,A,8157346,8159856,1,partial,46.08
TraesCS1A02G015100,1A,A,8238257,8239411,1,partial,45.19
TraesCS1A02G015200,1A,A,8239469,8244826,2,triad,41.88
TraesCS1A02G015300,1A,A,8247217,8251270,2,triad,42.85
TraesCS1A02G015378,1A,A,8260051,8261991,0,singleton,55.74
TraesCS1A02G015400,1A,A,8264166,8266341,1,partial,53.4
TraesCS1A02G015500,1A,A,8291349,8292883,2,triad,62.8
TraesCS1A02G015600,1A,A,8295508,8297343,1,partial,53.32
TraesCS1A02G015700,1A,A,8311562,8313243,1,partial,55.05
TraesCS1A02G015800,1A,A,8320695,8322586,2,triad,50.42
TraesCS1A02G015900,1A,A,8325715,8329799,2,triad,46.19
TraesCS1A02G016000,1A,A,8331822,8334602,1,partial,45.27
TraesCS1A02G016100,1A,A,8341907,8344730,2,triad,43.91
TraesCS1A02G016203,1A,A,8611945,8615970,1,partial,41.68
TraesCS1A02G016200,1A,A,8628133,8633964,2,triad,46.24
TraesCS1A02G016300,1A,A,8665006,8669951,2,triad,47.57
TraesCS1A02G016400,1A,A,8715361,8719129,0,singleton,47.04
TraesCS1A02G016500,1A,A,8732467,8732691,1,partial,44.89
TraesCS1A02G016600,1A,A,9089751,9092824,0,singleton,45.09
TraesCS1A02G016800,1A,A,9103014,9104091,1,partial,48.61
TraesCS1A02G016900,1A,A,9104841,9110639,2,triad,39.23
TraesCS1A02G017000,1A,A,9119143,9123202,1,partial,45.55
TraesCS1A02G017100,1A,A,9125924,9126091,0,singleton,63.1
TraesCS1A02G017200,1A,A,9126999,9129494,0,singleton,46.35
TraesCS1A02G017300,1A,A,9156307,9157322,1,partial,49.8
TraesCS1A02G017400,1A,A,9194440,9195385,1,partial,51.59
TraesCS1A02G017500,1A,A,9203430,9205210,1,partial,51.21
TraesCS1A02G017600,1A,A,9219941,9221744,1,partial,53.05
TraesCS1A02G017700,1A,A,9232851,9236545,1,partial,43.71
TraesCS1A02G017800,1A,A,9340848,9344270,1,partial,46.33
TraesCS1A02G017900,1A,A,9355372,9357968,0,singleton,45.75
TraesCS1A02G018000,1A,A,9359231,9363721,1,partial,42.46
TraesCS1A02G018100,1A,A,9369967,9375647,0,singleton,44.76
TraesCS1A02G018200,1A,A,9468842,9469968,2,triad,43.66
TraesCS1A02G018300,1A,A,9476119,9477343,2,triad,51.92
TraesCS1A02G018400,1A,A,9543460,9548078,1,partial,45.64
TraesCS1A02G018500,1A,A,9549076,9552128,2,triad,45.99
TraesCS1A02G018600,1A,A,9553967,9556916,0,singleton,42.98
TraesCS1A02G018700,1A,A,9561507,9563163,2,triad,52.56
TraesCS1A02G018800,1A,A,9572396,9575377,1,partial,47.72
TraesCS1A02G018900,1A,A,9579534,9583651,2,triad,46.11
TraesCS1A02G019000,1A,A,9586486,9589430,2,triad,45.91
TraesCS1A02G019100,1A,A,9597803,9600713,0,singleton,47.87
TraesCS1A02G019200,1A,A,9642195,9644901,2,triad,48.54
TraesCS1A02G019300,1A,A,9663418,9664672,0,singleton,45.66
TraesCS1A02G019400,1A,A,9762052,9764101,2,triad,46.29
TraesCS1A02G019500,1A,A,9772102,9773591,0,singleton,66.64
TraesCS1A02G019600,1A,A,9787090,9788709,2,triad,68.95
TraesCS1A02G019700,1A,A,9855921,9858405,0,singleton,40.76
TraesCS1A02G019800,1A,A,9939053,9941260,2,triad,44.38
TraesCS1A02G019900,1A,A,9968704,9972586,2,triad,44.17
TraesCS1A02G020000,1A,A,9979714,9980736,1,partial,43.01
TraesCS1A02G020100,1A,A,9984176,9985446,1,partial,40.99
TraesCS1A02G020153,1A,A,9993873,9994398,2,triad,37.83
TraesCS1A02G020200,1A,A,10004889,10007706,1,partial,43.04
TraesCS1A02G020300,1A,A,10047783,10050350,2,triad,44.39
TraesCS1A02G020400,1A,A,10051720,10058221,2,triad,45.43
TraesCS1A02G020500,1A,A,10066113,10069211,2,triad,47.73
TraesCS1A02G020600,1A,A,10069498,10072370,2,triad,46.12
TraesCS1A02G020700,1A,A,10074020,10085175,2,triad,42.57
TraesCS1A02G020800,1A,A,10126424,10128313,1,partial,52.59
TraesCS1A02G020900,1A,A,10132632,10133075,1,partial,54.73
TraesCS1A02G021000,1A,A,10135659,10136038,0,singleton,61.84
TraesCS1A02G021100,1A,A,10150818,10152476,2,triad,63.83
TraesCS1A02G021200,1A,A,10155551,10160312,1,partial,46.28
TraesCS1A02G021300,1A,A,10172635,10173271,1,partial,49.92
TraesCS1A02G021400,1A,A,10210714,10211293,1,partial,50.0
TraesCS1A02G021500,1A,A,10227258,10241556,1,partial,44.32
TraesCS1A02G021600,1A,A,10423319,10424959,0,singleton,64.78
TraesCS1A02G021700,1A,A,10469148,10475302,2,triad,43.93
TraesCS1A02G021800,1A,A,10481359,10491160,0,singleton,44.49
TraesCS1A02G021900,1A,A,10497360,10499993,2,triad,50.84
TraesCS1A02G022000,1A,A,10602386,10607440,1,partial,47.04
TraesCS1A02G022100,1A,A,10696702,10696917,0,singleton,60.65
TraesCS1A02G022200,1A,A,10709502,10709744,0,singleton,64.2
TraesCS1A02G022300,1A,A,10715760,10715975,2,triad,59.72
TraesCS1A02G022400,1A,A,10748820,10751263,2,triad,47.55
TraesCS1A02G022500,1A,A,10969660,10972892,1,partial,42.28
TraesCS1A02G022600,1A,A,11025585,11025879,0,singleton,62.03
TraesCS1A02G022700,1A,A,11229095,11231774,2,triad,41.53
TraesCS1A02G022800,1A,A,11240483,11242247,2,triad,50.03
TraesCS1A02G022900,1A,A,11388647,11390028,1,partial,37.63
TraesCS1A02G023000,1A,A,11418293,11423385,2,triad,41.27
TraesCS1A02G023100,1A,A,11423819,11425579,2,triad,48.78
TraesCS1A02G023205,1A,A,11525226,11528167,2,triad,55.28
TraesCS1A02G023200,1A,A,11530146,11531462,0,singleton,62.19
TraesCS1A02G023300,1A,A,11554673,11556175,2,triad,58.75
TraesCS1A02G023400,1A,A,11564200,11572148,2,triad,44.45
ENSRNA050009800,1A,A,11572965,11573044,0,singleton,57.5
TraesCS1A02G023500,1A,A,11577284,11585300,2,triad,42.1
TraesCS1A02G023600,1A,A,11621872,11634040,0,singleton,42.64
TraesCS1A02G023700,1A,A,11643654,11644753,2,triad,54.64
TraesCS1A02G023800,1A,A,11661682,11665443,2,triad,47.26
ENSRNA050009802,1A,A,11665590,11665661,0,singleton,59.72
TraesCS1A02G023900,1A,A,11670629,11672741,0,singleton,46.62
TraesCS1A02G024000,1A,A,11729437,11731433,0,singleton,44.42
TraesCS1A02G024100,1A,A,11811881,11815829,2,triad,51.94
TraesCS1A02G024200,1A,A,11819305,11825443,2,triad,44.36
TraesCS1A02G024300,1A,A,11894091,11895818,1,partial,45.25
TraesCS1A02G024400,1A,A,12002939,12006839,1,partial,47.94
TraesCS1A02G024500,1A,A,12089718,12093423,1,partial,43.55
TraesCS1A02G024600,1A,A,12096371,12098518,2,triad,48.84
TraesCS1A02G024700,1A,A,12098618,12103881,2,triad,43.43
ENSRNA050009943,1A,A,12108988,12109059,0,singleton,59.72
TraesCS1A02G024800,1A,A,12109358,12109555,2,triad,70.71
TraesCS1A02G024900,1A,A,12129622,12129819,1,partial,69.7
TraesCS1A02G025000,1A,A,12138837,12139034,1,partial,69.7
TraesCS1A02G025100,1A,A,12141981,12144556,2,triad,47.01
TraesCS1A02G025200,1A,A,12157064,12161869,2,triad,44.28
TraesCS1A02G025300,1A,A,12170678,12170875,2,triad,70.71
ENSRNA050009805,1A,A,12171174,12171245,0,singleton,59.72
TraesCS1A02G025400,1A,A,12184799,12185863,1,partial,42.63
TraesCS1A02G025500,1A,A,12207569,12216167,0,singleton,44.94
TraesCS1A02G025600,1A,A,12303354,12311465,1,partial,47.3
TraesCS1A02G025700,1A,A,12312969,12318272,2,triad,42.72
TraesCS1A02G025800,1A,A,12355116,12356701,0,singleton,64.06
TraesCS1A02G025900,1A,A,12363666,12369892,2,triad,42.8
TraesCS1A02G026000,1A,A,12371105,12372554,2,triad,66.76
TraesCS1A02G026100,1A,A,12404235,12405320,1,partial,43.46
TraesCS1A02G026200,1A,A,12502526,12507052,1,partial,46.85
TraesCS1A02G026300,1A,A,12567299,12573055,1,partial,49.64
TraesCS1A02G026400,1A,A,12585035,12592665,0,singleton,43.27
TraesCS1A02G026500,1A,A,12639162,12640199,1,partial,61.56
TraesCS1A02G026600,1A,A,12669534,12669800,0,singleton,46.44
TraesCS1A02G026700,1A,A,12684835,12685050,2,triad,58.8
TraesCS1A02G026800,1A,A,12698221,12698445,1,partial,58.22
TraesCS1A02G026900,1A,A,12734163,12739704,1,partial,39.35
TraesCS1A02G027000,1A,A,12769345,12795636,1,partial,44.5
TraesCS1A02G027100,1A,A,12859911,12863704,1,partial,53.43
TraesCS1A02G027200,1A,A,12915087,12917028,2,triad,44.54
TraesCS1A02G027300,1A,A,12918575,12920144,2,triad,55.48
TraesCS1A02G027400,1A,A,13003151,13006393,0,singleton,43.32
TraesCS1A02G027500,1A,A,13007820,13009896,2,triad,42.56
TraesCS1A02G027600,1A,A,13081413,13086602,2,triad,46.05
TraesCS1A02G027700,1A,A,13212431,13214290,2,triad,43.39
TraesCS1A02G027800,1A,A,13228922,13230974,2,triad,43.55
TraesCS1A02G027900,1A,A,13256482,13257081,0,singleton,43.5
TraesCS1A02G028000,1A,A,13272070,13273683,2,triad,42.87
TraesCS1A02G028100,1A,A,13278118,13278353,1,partial,59.32
TraesCS1A02G028200,1A,A,13281440,13281658,2,triad,63.01
TraesCS1A02G028300,1A,A,13284004,13293362,1,partial,47.01
TraesCS1A02G028400,1A,A,13312882,13319980,0,singleton,42.16
TraesCS1A02G028500,1A,A,13346605,13352572,2,triad,43.52
TraesCS1A02G028600,1A,A,13412737,13418606,0,singleton,44.7
TraesCS1A02G028700,1A,A,13452339,13458303,2,triad,44.01
TraesCS1A02G028900,1A,A,13569534,13575431,2,triad,41.66
TraesCS1A02G029000,1A,A,13581071,13581475,0,singleton,62.72
TraesCS1A02G029100,1A,A,13663300,13667800,0,singleton,42.01
TraesCS1A02G029200,1A,A,13669902,13676212,2,triad,43.43
ENSRNA050009941,1A,A,13757038,13757119,0,singleton,56.1
TraesCS1A02G029300,1A,A,13762566,13768572,2,triad,41.63
