chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,n_qtl,n_metaqtl,n_trait_categories,dominant_trait,total_qtl_metaqtl
1B,B,340000000,360000000,116,0.0862,26,0,5,Abiotic stress,26
1B,B,360000000,380000000,86,0.1744,164,1,3,Abiotic stress,165
1B,B,380000000,400000000,126,0.0873,120,0,2,Abiotic stress,120
1B,B,400000000,420000000,121,0.1488,75,0,4,Abiotic stress,75
1B,B,420000000,440000000,148,0.0878,41,0,6,Abiotic stress,41
1B,B,440000000,460000000,136,0.125,28,1,5,Abiotic stress,29
1B,B,460000000,480000000,114,0.0877,20,0,5,Abiotic stress,20
1B,B,480000000,500000000,149,0.1007,40,0,4,Abiotic stress,40
1B,B,500000000,520000000,116,0.1293,57,0,5,Abiotic stress,57
1B,B,520000000,540000000,173,0.2197,54,2,6,Abiotic stress,56
1B,B,540000000,560000000,199,0.2613,47,2,7,Abiotic stress,49
1B,B,560000000,580000000,160,0.1562,103,0,8,Abiotic stress,103
1B,B,580000000,600000000,221,0.1493,121,0,7,Abiotic stress,121
1B,B,600000000,620000000,159,0.1887,48,0,7,Abiotic stress,48
1B,B,620000000,640000000,304,0.2763,106,1,6,Abiotic stress,107
1B,B,640000000,660000000,268,0.3097,121,1,7,Abiotic stress,122
1B,B,660000000,680000000,371,0.2588,213,1,6,Abiotic stress,214
1B,B,680000000,700000000,97,0.3093,56,0,6,Abiotic stress,56
1D,D,0,20000000,440,0.3091,221,5,10,Abiotic stress,226
1D,D,20000000,40000000,440,0.6386,62,0,7,Abiotic stress,62
1D,D,40000000,60000000,192,0.2031,41,0,8,Abiotic stress,41
1D,D,60000000,80000000,162,0.0988,9,1,3,Abiotic stress,10
1D,D,80000000,100000000,129,0.155,14,0,4,Biofortification,14
1D,D,100000000,120000000,133,0.1053,15,0,6,Abiotic stress,15
1D,D,120000000,140000000,62,0.0323,3,1,3,Abiotic stress,4
1D,D,140000000,160000000,55,0.1455,3,0,2,Biofortification,3
1D,D,160000000,180000000,30,0.1667,7,0,3,Abiotic stress,7
1D,D,180000000,200000000,89,0.1011,4,0,2,Abiotic stress,4
1D,D,200000000,220000000,115,0.1565,28,0,4,Abiotic stress,28
1D,D,220000000,240000000,121,0.124,6,0,2,Abiotic stress,6
1D,D,240000000,260000000,205,0.3366,24,0,4,Abiotic stress,24
1D,D,260000000,280000000,110,0.1182,4,0,3,Abiotic stress,4
1D,D,280000000,300000000,171,0.1111,7,0,3,Abiotic stress,7
1D,D,300000000,320000000,167,0.0838,24,0,6,Abiotic stress,24
1D,D,320000000,340000000,158,0.1203,2,1,3,Yield,3
1D,D,340000000,360000000,172,0.0581,12,0,5,Abiotic stress,12
1D,D,360000000,380000000,190,0.1158,14,0,4,Abiotic stress,14
1D,D,380000000,400000000,207,0.1498,16,1,5,Abiotic stress,17
1D,D,400000000,420000000,261,0.1494,30,1,7,Abiotic stress,31
1D,D,420000000,440000000,297,0.2054,43,0,5,Abiotic stress,43
1D,D,440000000,460000000,322,0.1863,12,1,4,Abiotic stress,13
1D,D,460000000,480000000,439,0.2187,39,1,4,Abiotic stress,40
1D,D,480000000,500000000,290,0.2517,30,2,8,Abiotic stress,32
2A,A,0,20000000,514,0.1887,176,4,10,Abiotic stress,180
2A,A,20000000,40000000,356,0.2079,120,4,6,Abiotic stress,124
2A,A,40000000,60000000,216,0.162,128,4,6,Abiotic stress,132
2A,A,60000000,80000000,253,0.1344,36,4,5,Abiotic stress,40
2A,A,80000000,100000000,186,0.1505,52,0,5,Abiotic stress,52
2A,A,100000000,120000000,158,0.1456,23,2,5,Abiotic stress,25
2A,A,120000000,140000000,145,0.1517,12,0,6,Abiotic stress,12
2A,A,140000000,160000000,116,0.069,15,0,3,Abiotic stress,15
2A,A,160000000,180000000,112,0.0714,22,0,6,Abiotic stress,22
2A,A,180000000,200000000,107,0.1963,6,0,4,Abiotic stress,6
2A,A,200000000,220000000,92,0.1087,7,0,3,Abiotic stress,7
2A,A,220000000,240000000,34,0.1765,14,0,4,Abiotic stress,14
2A,A,240000000,260000000,20,0.45,21,0,1,Abiotic stress,21
2A,A,260000000,280000000,43,0.2558,5,0,1,Abiotic stress,5
2A,A,280000000,300000000,19,0.1053,10,0,1,Abiotic stress,10
2A,A,300000000,320000000,19,0.1579,10,0,2,Abiotic stress,10
2A,A,320000000,340000000,57,0.4035,18,0,2,Abiotic stress,18
2A,A,340000000,360000000,28,0.2857,17,0,2,Abiotic stress,17
2A,A,360000000,380000000,52,0.2115,9,0,2,Fungal resistance,9
2A,A,380000000,400000000,73,0.274,7,0,3,Abiotic stress,7
2A,A,400000000,420000000,70,0.1571,4,0,3,Biofortification,4
2A,A,420000000,440000000,58,0.1207,4,0,2,Abiotic stress,4
2A,A,440000000,460000000,68,0.1765,8,0,3,Fungal resistance,8
2A,A,460000000,480000000,73,0.1096,8,0,3,Abiotic stress,8
2A,A,480000000,500000000,48,0.1458,24,0,5,Fungal resistance,24
2A,A,500000000,520000000,126,0.0873,22,0,6,Abiotic stress,22
2A,A,520000000,540000000,126,0.1667,25,0,4,Abiotic stress,25
2A,A,540000000,560000000,138,0.1449,15,0,5,Abiotic stress,15
2A,A,560000000,580000000,151,0.1523,29,0,3,Abiotic stress,29
2A,A,580000000,600000000,131,0.1069,8,0,3,Fungal resistance,8
2A,A,600000000,620000000,234,0.1752,41,0,5,Abiotic stress,41
2A,A,620000000,640000000,124,0.0565,21,0,3,Fungal resistance,21
2A,A,640000000,660000000,146,0.1507,31,2,6,Fungal resistance,33
2A,A,660000000,680000000,223,0.1345,15,2,6,Abiotic stress,17
2A,A,680000000,700000000,237,0.1181,47,0,6,Abiotic stress,47
2A,A,700000000,720000000,339,0.1416,64,0,7,Abiotic stress,64
2A,A,720000000,740000000,324,0.1852,138,0,8,Abiotic stress,138
2A,A,740000000,760000000,415,0.2386,131,0,7,Abiotic stress,131
2A,A,760000000,780000000,373,0.2091,85,0,9,Abiotic stress,85
2B,B,0,20000000,441,0.288,205,0,12,Abiotic stress,205
2B,B,20000000,40000000,309,0.2071,91,0,6,Abiotic stress,91
2B,B,40000000,60000000,270,0.2111,84,1,8,Abiotic stress,85
2B,B,60000000,80000000,170,0.2647,62,0,6,Abiotic stress,62
2B,B,80000000,100000000,170,0.1824,63,0,6,Yield,63
2B,B,100000000,120000000,193,0.171,35,1,9,Biofortification,36
2B,B,120000000,140000000,135,0.1333,31,0,5,Abiotic stress,31
2B,B,140000000,160000000,191,0.1728,37,1,7,Yield,38
2B,B,160000000,180000000,162,0.1543,81,0,4,Abiotic stress,81
2B,B,180000000,200000000,141,0.1348,67,1,5,Abiotic stress,68
2B,B,200000000,220000000,123,0.122,23,0,5,Abiotic stress,23
2B,B,220000000,240000000,121,0.157,11,0,2,Abiotic stress,11
2B,B,240000000,260000000,115,0.0696,23,0,5,Abiotic stress,23
2B,B,260000000,280000000,33,0.2727,2,0,2,Abiotic stress,2
2B,B,280000000,300000000,29,0.3103,0,0,0,,0
2B,B,300000000,320000000,20,0.05,8,0,3,Abiotic stress,8
2B,B,320000000,340000000,27,0.2222,3,0,3,Abiotic stress,3
2B,B,340000000,360000000,65,0.2923,1,0,1,Fungal resistance,1
2B,B,360000000,380000000,78,0.0513,5,0,1,Abiotic stress,5
2B,B,380000000,400000000,144,0.1528,12,0,5,Abiotic stress,12
2B,B,400000000,420000000,97,0.0515,32,0,5,Abiotic stress,32
2B,B,420000000,440000000,78,0.0513,219,0,4,Abiotic stress,219
2B,B,440000000,460000000,155,0.129,50,0,5,Abiotic stress,50
2B,B,460000000,480000000,142,0.1549,11,0,2,Abiotic stress,11
2B,B,480000000,500000000,159,0.1132,6,0,3,Abiotic stress,6
2B,B,500000000,520000000,138,0.1159,13,0,2,Abiotic stress,13
2B,B,520000000,540000000,120,0.125,19,0,3,Abiotic stress,19
2B,B,540000000,560000000,191,0.1885,49,0,5,Abiotic stress,49
2B,B,560000000,580000000,131,0.1298,35,0,5,Abiotic stress,35
2B,B,580000000,600000000,109,0.1468,48,0,6,Abiotic stress,48
2B,B,600000000,620000000,119,0.1092,61,0,5,Abiotic stress,61
2B,B,620000000,640000000,156,0.1731,40,1,6,Abiotic stress,41
2B,B,640000000,660000000,181,0.1989,46,0,5,Abiotic stress,46
2B,B,660000000,680000000,167,0.1078,74,1,7,Abiotic stress,75
2B,B,680000000,700000000,235,0.1617,70,1,7,Abiotic stress,71
2B,B,700000000,720000000,212,0.1792,84,0,6,Abiotic stress,84
2B,B,720000000,740000000,170,0.2,71,0,6,Abiotic stress,71
2B,B,740000000,760000000,277,0.2419,116,2,7,Abiotic stress,118
2B,B,760000000,780000000,275,0.1927,83,1,7,Abiotic stress,84
2B,B,780000000,800000000,315,0.2508,76,0,6,Abiotic stress,76
2B,B,800000000,820000000,19,0.2632,17,0,3,Abiotic stress,17
2D,D,0,20000000,520,0.2404,151,4,9,Abiotic stress,155
2D,D,20000000,40000000,389,0.2159,86,4,7,Abiotic stress,90
2D,D,40000000,60000000,182,0.1813,19,2,4,Yield,21
2D,D,60000000,80000000,283,0.1343,135,2,8,Abiotic stress,137
2D,D,80000000,100000000,198,0.1162,257,1,8,Abiotic stress,258
2D,D,100000000,120000000,205,0.1463,11,0,4,Yield,11
2D,D,120000000,140000000,182,0.1319,22,1,5,Abiotic stress,23
2D,D,140000000,160000000,121,0.0661,33,0,5,Abiotic stress,33
2D,D,160000000,180000000,98,0.0714,7,0,3,Abiotic stress,7
2D,D,180000000,200000000,129,0.1163,9,0,1,Abiotic stress,9
2D,D,200000000,220000000,50,0.1,0,0,0,,0
2D,D,220000000,240000000,21,0.1429,2,0,2,Abiotic stress,2
2D,D,240000000,260000000,32,0.1875,0,0,0,,0
2D,D,260000000,280000000,47,0.2553,2,0,1,Abiotic stress,2
2D,D,280000000,300000000,62,0.1129,3,0,2,Fungal resistance,3
2D,D,300000000,320000000,113,0.0442,3,0,1,Abiotic stress,3
2D,D,320000000,340000000,107,0.1215,6,0,2,Abiotic stress,6
2D,D,340000000,360000000,106,0.0472,25,0,3,Abiotic stress,25
2D,D,360000000,380000000,128,0.0547,13,0,2,Abiotic stress,13
2D,D,380000000,400000000,146,0.1438,6,1,3,Abiotic stress,7
2D,D,400000000,420000000,159,0.1195,9,0,2,Abiotic stress,9
2D,D,420000000,440000000,170,0.0882,14,1,4,Abiotic stress,15
2D,D,440000000,460000000,142,0.0845,15,3,4,Abiotic stress,18
2D,D,460000000,480000000,186,0.1452,13,3,3,Abiotic stress,16
2D,D,480000000,500000000,172,0.1047,10,3,6,Abiotic stress,13
2D,D,500000000,520000000,128,0.0781,25,5,6,Abiotic stress,30
2D,D,520000000,540000000,224,0.1161,11,4,5,Yield,15
2D,D,540000000,560000000,220,0.1273,24,2,6,Abiotic stress,26
2D,D,560000000,580000000,283,0.1449,34,3,7,Abiotic stress,37
2D,D,580000000,600000000,276,0.1449,75,4,5,Abiotic stress,79
2D,D,600000000,620000000,355,0.2141,213,1,7,Abiotic stress,214
2D,D,620000000,640000000,379,0.2058,65,2,7,Abiotic stress,67
2D,D,640000000,660000000,256,0.2383,88,6,7,Abiotic stress,94
3A,A,0,20000000,364,0.3049,141,0,8,Abiotic stress,141
3A,A,20000000,40000000,311,0.2508,145,1,9,Abiotic stress,146
3A,A,40000000,60000000,263,0.1521,101,0,7,Abiotic stress,101
3A,A,60000000,80000000,203,0.1823,57,0,6,Abiotic stress,57
3A,A,80000000,100000000,115,0.1652,6,0,5,Abiotic stress,6
3A,A,100000000,120000000,166,0.1446,61,0,3,Abiotic stress,61
3A,A,120000000,140000000,104,0.1442,14,0,4,Yield,14
3A,A,140000000,160000000,90,0.1222,21,0,6,Abiotic stress,21
3A,A,160000000,180000000,100,0.17,13,0,4,Abiotic stress,13
3A,A,180000000,200000000,64,0.1719,9,0,4,Abiotic stress,9
3A,A,200000000,220000000,84,0.1071,15,0,3,Abiotic stress,15
3A,A,220000000,240000000,45,0.1778,3,0,3,Yield,3
3A,A,240000000,260000000,23,0.1739,7,0,3,Biofortification,7
3A,A,260000000,280000000,21,0.1429,21,0,3,Fungal resistance,21
3A,A,280000000,300000000,13,0.2308,6,0,1,Abiotic stress,6
3A,A,300000000,320000000,21,0.1429,19,0,2,Abiotic stress,19
3A,A,320000000,340000000,31,0.1935,22,0,2,Abiotic stress,22
3A,A,340000000,360000000,28,0.2143,10,0,2,Abiotic stress,10
3A,A,360000000,380000000,63,0.0794,27,0,2,Abiotic stress,27
3A,A,380000000,400000000,65,0.1077,9,0,1,Abiotic stress,9
3A,A,400000000,420000000,61,0.1803,10,0,1,Abiotic stress,10
3A,A,420000000,440000000,110,0.0818,50,0,5,Abiotic stress,50
3A,A,440000000,460000000,97,0.1134,20,0,2,Abiotic stress,20
3A,A,460000000,480000000,125,0.072,17,0,3,Abiotic stress,17
3A,A,480000000,500000000,128,0.125,34,1,6,Abiotic stress,35
3A,A,500000000,520000000,199,0.1106,171,0,8,Yield,171
3A,A,520000000,540000000,141,0.1206,52,0,7,Yield,52
3A,A,540000000,560000000,147,0.0952,67,0,5,Abiotic stress,67
3A,A,560000000,580000000,158,0.1266,71,0,8,Abiotic stress,71
3A,A,580000000,600000000,191,0.1937,21,0,6,Abiotic stress,21
3A,A,600000000,620000000,176,0.125,31,0,7,Abiotic stress,31
3A,A,620000000,640000000,264,0.1894,203,0,4,Abiotic stress,203
3A,A,640000000,660000000,273,0.1722,360,1,6,Abiotic stress,361
3A,A,660000000,680000000,190,0.1947,66,0,3,Abiotic stress,66
3A,A,680000000,700000000,306,0.1699,50,1,6,Abiotic stress,51
3A,A,700000000,720000000,290,0.2621,218,1,7,Abiotic stress,219
3A,A,720000000,740000000,340,0.2765,102,0,6,Abiotic stress,102
3A,A,740000000,760000000,150,0.28,17,0,5,Abiotic stress,17
3B,B,0,20000000,410,0.2268,193,5,10,Abiotic stress,198
3B,B,20000000,40000000,261,0.2835,102,1,7,Abiotic stress,103
3B,B,40000000,60000000,244,0.2172,53,0,6,Abiotic stress,53
3B,B,60000000,80000000,236,0.1653,80,0,6,Abiotic stress,80
3B,B,80000000,100000000,118,0.1949,17,1,3,Yield,18
3B,B,100000000,120000000,124,0.2097,12,0,5,Abiotic stress,12
3B,B,120000000,140000000,120,0.125,28,0,3,Abiotic stress,28
3B,B,140000000,160000000,137,0.0803,28,0,4,Abiotic stress,28
3B,B,160000000,180000000,145,0.1931,9,0,1,Abiotic stress,9
3B,B,180000000,200000000,74,0.1351,3,0,2,Abiotic stress,3
3B,B,200000000,220000000,115,0.3217,7,0,3,Abiotic stress,7
3B,B,220000000,240000000,97,0.0722,6,0,4,Yield,6
3B,B,240000000,260000000,117,0.1026,12,0,4,Abiotic stress,12
3B,B,260000000,280000000,44,0.1136,5,0,2,Abiotic stress,5
3B,B,280000000,300000000,17,0.1765,5,0,3,Abiotic stress,5
3B,B,300000000,320000000,22,0.1364,2,0,2,Fungal resistance,2
3B,B,320000000,340000000,24,0.1667,4,0,1,Biofortification,4
3B,B,340000000,360000000,31,0.1935,3,0,3,Biofortification,3
3B,B,360000000,380000000,76,0.1447,5,0,2,Abiotic stress,5
3B,B,380000000,400000000,90,0.0556,10,0,3,Abiotic stress,10
3B,B,400000000,420000000,113,0.0619,30,0,3,Abiotic stress,30
3B,B,420000000,440000000,110,0.0727,25,0,2,Abiotic stress,25
3B,B,440000000,460000000,137,0.0876,9,0,2,Abiotic stress,9
3B,B,460000000,480000000,116,0.2328,20,0,3,Abiotic stress,20
3B,B,480000000,500000000,119,0.084,32,1,3,Abiotic stress,33
3B,B,500000000,520000000,98,0.0918,36,0,5,Abiotic stress,36
3B,B,520000000,540000000,124,0.1129,17,0,5,Abiotic stress,17
3B,B,540000000,560000000,165,0.1212,81,0,6,Abiotic stress,81
3B,B,560000000,580000000,176,0.142,30,0,5,Abiotic stress,30
3B,B,580000000,600000000,143,0.1119,33,1,5,Abiotic stress,34
3B,B,600000000,620000000,122,0.0902,14,1,5,Abiotic stress,15
3B,B,620000000,640000000,113,0.115,23,0,2,Abiotic stress,23
3B,B,640000000,660000000,205,0.1902,15,0,4,Biofortification,15
3B,B,660000000,680000000,171,0.1345,18,0,6,Biofortification,18
3B,B,680000000,700000000,172,0.1802,20,1,6,Abiotic stress,21
3B,B,700000000,720000000,143,0.1818,23,0,5,Biofortification,23
3B,B,720000000,740000000,258,0.2713,103,2,7,Abiotic stress,105
3B,B,740000000,760000000,203,0.2808,203,1,7,Abiotic stress,204
3B,B,760000000,780000000,254,0.2795,53,2,6,Abiotic stress,55
3B,B,780000000,800000000,254,0.2756,51,0,6,Abiotic stress,51
3B,B,800000000,820000000,308,0.3506,64,0,7,Biofortification,64
3B,B,820000000,840000000,188,0.4681,17,1,4,Fungal resistance,18
3D,D,0,20000000,514,0.2179,88,3,9,Abiotic stress,91
3D,D,20000000,40000000,299,0.214,79,0,6,Abiotic stress,79
3D,D,40000000,60000000,272,0.1544,35,0,5,Abiotic stress,35
3D,D,60000000,80000000,157,0.172,15,0,4,Abiotic stress,15
3D,D,80000000,100000000,171,0.1404,15,0,2,Abiotic stress,15
3D,D,100000000,120000000,130,0.1231,16,0,5,Abiotic stress,16
3D,D,120000000,140000000,136,0.1103,19,0,4,Abiotic stress,19
3D,D,140000000,160000000,112,0.1161,13,0,4,Abiotic stress,13
3D,D,160000000,180000000,129,0.0465,31,0,3,Abiotic stress,31
3D,D,180000000,200000000,53,0.0943,27,0,4,Abiotic stress,27
3D,D,200000000,220000000,31,0.3548,26,0,2,Abiotic stress,26
3D,D,220000000,240000000,22,0.2273,41,0,3,Abiotic stress,41
3D,D,240000000,260000000,38,0.2895,28,0,3,Abiotic stress,28
3D,D,260000000,280000000,54,0.0185,27,0,4,Abiotic stress,27
3D,D,280000000,300000000,93,0.0753,22,0,2,Abiotic stress,22
3D,D,300000000,320000000,124,0.0806,21,0,3,Abiotic stress,21
3D,D,320000000,340000000,120,0.075,5,0,1,Abiotic stress,5
3D,D,340000000,360000000,131,0.0763,6,0,4,Abiotic stress,6
3D,D,360000000,380000000,160,0.1,13,0,4,Abiotic stress,13
3D,D,380000000,400000000,160,0.1125,17,0,7,Abiotic stress,17
3D,D,400000000,420000000,170,0.1,19,0,5,Abiotic stress,19
3D,D,420000000,440000000,212,0.0943,8,0,3,Abiotic stress,8
3D,D,440000000,460000000,219,0.1507,7,0,3,Abiotic stress,7
3D,D,460000000,480000000,172,0.0756,8,1,4,Abiotic stress,9
3D,D,480000000,500000000,216,0.2083,11,0,6,Abiotic stress,11
3D,D,500000000,520000000,215,0.1907,35,1,5,Abiotic stress,36
3D,D,520000000,540000000,219,0.1553,15,0,4,Abiotic stress,15
3D,D,540000000,560000000,263,0.1825,32,0,5,Abiotic stress,32
3D,D,560000000,580000000,304,0.1941,61,2,8,Abiotic stress,63
3D,D,580000000,600000000,355,0.2592,73,1,7,Abiotic stress,74
3D,D,600000000,620000000,322,0.2547,71,0,8,Abiotic stress,71
4A,A,0,20000000,283,0.1413,112,3,7,Abiotic stress,115
4A,A,20000000,40000000,237,0.2489,49,0,6,Abiotic stress,49
4A,A,40000000,60000000,145,0.1103,35,0,5,Abiotic stress,35
4A,A,60000000,80000000,159,0.1635,32,0,6,Abiotic stress,32
4A,A,80000000,100000000,133,0.0977,28,1,5,Biofortification,29
4A,A,100000000,120000000,130,0.0538,35,1,5,Abiotic stress,36
4A,A,120000000,140000000,94,0.0851,36,0,3,Abiotic stress,36
4A,A,140000000,160000000,96,0.0833,23,0,4,Yield,23
4A,A,160000000,180000000,77,0.0649,26,0,4,Abiotic stress,26
4A,A,180000000,200000000,43,0.1628,5,0,3,Abiotic stress,5
4A,A,200000000,220000000,38,0.3421,3,0,2,Fungal resistance,3
4A,A,220000000,240000000,23,0.2174,6,0,3,Abiotic stress,6
4A,A,240000000,260000000,32,0.2188,3,0,2,Biofortification,3
4A,A,260000000,280000000,15,0.4667,9,0,5,Abiotic stress,9
4A,A,280000000,300000000,23,0.1739,3,0,2,Biofortification,3
4A,A,300000000,320000000,66,0.4242,4,0,1,Fungal resistance,4
4A,A,320000000,340000000,22,0.1818,6,0,3,Fungal resistance,6
4A,A,340000000,360000000,34,0.3529,4,0,2,Fungal resistance,4
4A,A,360000000,380000000,16,0.1875,4,0,2,Fungal resistance,4
4A,A,380000000,400000000,17,0.2353,4,0,2,Abiotic stress,4
4A,A,400000000,420000000,24,0.2917,1,0,1,Fungal resistance,1
4A,A,420000000,440000000,43,0.2093,5,0,3,Abiotic stress,5
4A,A,440000000,460000000,96,0.125,4,0,2,Abiotic stress,4
4A,A,460000000,480000000,142,0.0845,35,0,4,Abiotic stress,35
4A,A,480000000,500000000,89,0.1124,43,0,2,Abiotic stress,43
4A,A,500000000,520000000,116,0.1379,19,1,4,Abiotic stress,20
4A,A,520000000,540000000,118,0.1356,13,0,4,Biofortification,13
4A,A,540000000,560000000,190,0.1474,13,2,4,Abiotic stress,15
4A,A,560000000,580000000,188,0.1117,50,0,5,Abiotic stress,50
4A,A,580000000,600000000,378,0.1323,63,2,8,Abiotic stress,65
4A,A,600000000,620000000,335,0.2,137,2,8,Abiotic stress,139
4A,A,620000000,640000000,440,0.4705,155,3,7,Abiotic stress,158
4A,A,640000000,660000000,150,0.2933,28,1,4,Abiotic stress,29
4A,A,660000000,680000000,255,0.4039,40,1,6,Abiotic stress,41
4A,A,680000000,700000000,224,0.2902,37,0,6,Abiotic stress,37
4A,A,700000000,720000000,272,0.4779,96,1,7,Abiotic stress,97
4A,A,720000000,740000000,336,0.5565,96,1,6,Abiotic stress,97
4A,A,740000000,760000000,118,0.4576,15,0,3,Abiotic stress,15
4B,B,0,20000000,277,0.2166,187,0,10,Abiotic stress,187
4B,B,20000000,40000000,249,0.1084,848,0,5,Abiotic stress,848
4B,B,40000000,60000000,155,0.1097,45,0,5,Abiotic stress,45
4B,B,60000000,80000000,146,0.1096,80,0,4,Abiotic stress,80
4B,B,80000000,100000000,150,0.16,21,0,5,Abiotic stress,21
4B,B,100000000,120000000,127,0.126,11,0,2,Abiotic stress,11
4B,B,120000000,140000000,110,0.1455,9,0,3,Biofortification,9
4B,B,140000000,160000000,70,0.2429,9,0,3,Abiotic stress,9
4B,B,160000000,180000000,100,0.06,28,0,5,Abiotic stress,28
4B,B,180000000,200000000,80,0.0875,6,0,2,Abiotic stress,6
4B,B,200000000,220000000,45,0.3333,5,0,1,Abiotic stress,5
4B,B,220000000,240000000,23,0.4348,4,0,1,Abiotic stress,4
4B,B,240000000,260000000,20,0.2,4,0,1,Abiotic stress,4
4B,B,260000000,280000000,24,0.0417,4,0,2,Yield,4
4B,B,280000000,300000000,18,0.0556,1,0,1,Biofortification,1
4B,B,300000000,320000000,38,0.1579,3,0,2,Abiotic stress,3
4B,B,320000000,340000000,25,0.2,1,0,1,Fungal resistance,1
4B,B,340000000,360000000,25,0.24,5,0,2,Abiotic stress,5
4B,B,360000000,380000000,70,0.1,12,0,3,Abiotic stress,12
4B,B,380000000,400000000,89,0.0562,2,0,2,Abiotic stress,2
4B,B,400000000,420000000,128,0.1406,30,0,6,Abiotic stress,30
4B,B,420000000,440000000,111,0.0811,14,0,3,Abiotic stress,14
4B,B,440000000,460000000,109,0.0734,13,0,3,Abiotic stress,13
4B,B,460000000,480000000,104,0.0288,0,0,0,,0
4B,B,480000000,500000000,122,0.1639,57,0,3,Abiotic stress,57
4B,B,500000000,520000000,134,0.097,23,0,2,Abiotic stress,23
4B,B,520000000,540000000,146,0.2671,162,1,7,Abiotic stress,163
4B,B,540000000,560000000,105,0.1333,36,0,5,Abiotic stress,36
4B,B,560000000,580000000,168,0.1488,51,0,5,Yield,51
4B,B,580000000,600000000,149,0.1275,37,1,5,Abiotic stress,38
4B,B,600000000,620000000,197,0.1168,84,1,6,Biofortification,85
4B,B,620000000,640000000,172,0.1977,38,0,5,Abiotic stress,38
4B,B,640000000,660000000,305,0.2033,71,2,6,Abiotic stress,73
4B,B,660000000,680000000,228,0.4342,64,0,7,Abiotic stress,64
4D,D,0,20000000,457,0.1641,107,1,7,Abiotic stress,108
4D,D,20000000,40000000,205,0.1171,73,0,6,Abiotic stress,73
4D,D,40000000,60000000,202,0.0941,107,0,2,Abiotic stress,107
4D,D,60000000,80000000,159,0.0943,51,0,5,Abiotic stress,51
