chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,mean_gc_content,n_records,n_distinct_studies,n_trait_categories,trait_shannon_entropy,records_per_gene,studies_per_gene
2D,D,550000000,600000000,658,0.1368,52.689,130,34,7,1.6125,0.19757,0.05167
2D,D,600000000,650000000,946,0.2199,51.267,321,46,8,1.6054,0.33932,0.04863
2D,D,650000000,700000000,44,0.1591,49.891,54,9,5,0.9263,1.22727,0.20455
3A,A,0,50000000,785,0.2701,50.747,318,73,11,2.2615,0.4051,0.09299
3A,A,50000000,100000000,471,0.155,52.072,133,26,7,1.4398,0.28238,0.0552
3A,A,100000000,150000000,320,0.1406,52.383,91,15,5,1.2132,0.28437,0.04688
3A,A,150000000,200000000,204,0.1618,50.412,27,16,5,1.8931,0.13235,0.07843
3A,A,200000000,250000000,146,0.137,48.226,20,8,4,1.3955,0.13699,0.05479
3A,A,250000000,300000000,40,0.175,46.3,32,8,3,1.4682,0.8,0.2
3A,A,300000000,350000000,66,0.197,48.824,44,5,4,0.9828,0.66667,0.07576
3A,A,350000000,400000000,142,0.0986,48.544,43,6,2,0.3651,0.30282,0.04225
3A,A,400000000,450000000,211,0.1043,50.485,73,11,5,0.4919,0.34597,0.05213
3A,A,450000000,500000000,310,0.1097,50.632,59,15,6,1.594,0.19032,0.04839
3A,A,500000000,550000000,410,0.1146,51.542,244,28,8,1.7758,0.59512,0.06829
3A,A,550000000,600000000,426,0.1479,51.479,138,28,9,1.3513,0.32394,0.06573
3A,A,600000000,650000000,582,0.1615,52.214,281,27,7,0.6565,0.48282,0.04639
3A,A,650000000,700000000,627,0.1818,51.075,431,34,6,0.5421,0.6874,0.05423
3A,A,700000000,750000000,770,0.2714,50.871,337,58,7,1.5566,0.43766,0.07532
3A,A,750000000,800000000,10,0.3,47.504,1,1,1,0.0,0.1,0.1
3B,B,0,50000000,799,0.2466,52.033,327,70,10,2.0936,0.40926,0.08761
3B,B,50000000,100000000,470,0.1809,50.985,125,41,6,1.6852,0.26596,0.08723
3B,B,100000000,150000000,329,0.1429,51.49,64,14,7,1.0948,0.19453,0.04255
3B,B,150000000,200000000,271,0.1587,51.649,16,9,2,0.6962,0.05904,0.03321
3B,B,200000000,250000000,263,0.1977,48.646,15,10,5,2.0729,0.05703,0.03802
3B,B,250000000,300000000,127,0.0945,48.468,20,11,5,1.7388,0.15748,0.08661
3B,B,300000000,350000000,64,0.1406,46.408,8,3,3,1.0613,0.125,0.04688
3B,B,350000000,400000000,179,0.1117,47.755,16,7,5,1.6266,0.08939,0.03911
3B,B,400000000,450000000,289,0.0761,49.94,57,19,3,0.3458,0.19723,0.06574
3B,B,450000000,500000000,306,0.1373,50.301,60,19,4,1.1178,0.19608,0.06209
3B,B,500000000,550000000,316,0.1076,51.629,96,23,7,1.5102,0.3038,0.07278
3B,B,550000000,600000000,390,0.1282,51.155,102,30,6,1.2531,0.26154,0.07692
3B,B,600000000,650000000,325,0.1138,52.429,47,18,6,1.4488,0.14462,0.05538
3B,B,650000000,700000000,458,0.1747,51.377,45,22,7,2.133,0.09825,0.04803
3B,B,700000000,750000000,497,0.2394,51.548,138,34,7,1.7405,0.27767,0.06841
3B,B,750000000,800000000,615,0.2846,51.261,300,46,8,1.1351,0.4878,0.0748
3B,B,800000000,850000000,496,0.3952,49.775,82,28,7,2.2221,0.16532,0.05645
3D,D,0,50000000,995,0.201,50.896,198,42,10,1.5874,0.19899,0.04221
3D,D,50000000,100000000,418,0.1651,52.346,37,13,5,1.6726,0.08852,0.0311
3D,D,100000000,150000000,306,0.1209,51.929,42,13,6,1.6963,0.13725,0.04248
3D,D,150000000,200000000,254,0.0709,49.192,64,13,6,1.2619,0.25197,0.05118
3D,D,200000000,250000000,64,0.2969,46.936,90,7,3,0.8449,1.40625,0.10938
3D,D,250000000,300000000,174,0.092,48.052,54,6,4,0.7352,0.31034,0.03448
3D,D,300000000,350000000,298,0.0705,49.797,30,14,5,1.0804,0.10067,0.04698
3D,D,350000000,400000000,397,0.1058,51.542,32,14,7,2.2823,0.0806,0.03526
3D,D,400000000,450000000,487,0.1088,51.094,34,15,5,1.5124,0.06982,0.0308
3D,D,450000000,500000000,502,0.1494,53.179,20,13,8,2.1815,0.03984,0.0259
3D,D,500000000,550000000,568,0.1796,50.987,66,21,6,1.7587,0.1162,0.03697
3D,D,550000000,600000000,788,0.2183,51.56,154,30,9,1.6068,0.19543,0.03807
3D,D,600000000,650000000,322,0.2547,50.321,71,29,8,2.2233,0.2205,0.09006
4A,A,0,50000000,621,0.1787,51.334,197,49,8,1.3163,0.31723,0.0789
4A,A,50000000,100000000,336,0.128,51.239,63,23,7,2.443,0.1875,0.06845
4A,A,100000000,150000000,284,0.0775,50.93,78,14,6,1.1468,0.27465,0.0493
4A,A,150000000,200000000,156,0.0833,49.816,48,15,6,1.693,0.30769,0.09615
4A,A,200000000,250000000,78,0.2821,47.349,11,6,4,1.7899,0.14103,0.07692
4A,A,250000000,300000000,53,0.2642,47.521,13,7,5,2.1339,0.24528,0.13208
4A,A,300000000,350000000,106,0.3491,43.644,11,3,3,1.3093,0.10377,0.0283
4A,A,350000000,400000000,49,0.2857,46.389,11,3,2,0.9457,0.22449,0.06122
4A,A,400000000,450000000,115,0.2,49.439,7,4,3,1.3788,0.06087,0.03478
4A,A,450000000,500000000,279,0.0968,50.72,81,14,6,0.8268,0.29032,0.05018
4A,A,500000000,550000000,329,0.1155,50.96,39,17,6,1.8937,0.11854,0.05167
4A,A,550000000,600000000,661,0.1407,51.361,124,37,8,1.7805,0.18759,0.05598
4A,A,600000000,650000000,860,0.3465,49.902,312,44,9,1.6312,0.36279,0.05116
4A,A,650000000,700000000,544,0.3456,52.316,92,21,8,1.6227,0.16912,0.0386
4A,A,700000000,750000000,726,0.511,49.799,209,54,8,1.591,0.28788,0.07438
4B,B,0,50000000,602,0.1528,51.162,1063,60,10,0.6123,1.76578,0.09967
4B,B,50000000,100000000,375,0.1387,50.787,118,25,6,1.2886,0.31467,0.06667
4B,B,100000000,150000000,289,0.1419,50.99,26,11,4,1.7666,0.08997,0.03806
4B,B,150000000,200000000,198,0.1061,50.198,37,9,5,1.1316,0.18687,0.04545
4B,B,200000000,250000000,78,0.359,45.588,13,3,1,0.0,0.16667,0.03846
4B,B,250000000,300000000,52,0.0577,46.22,5,2,3,1.371,0.09615,0.03846
4B,B,300000000,350000000,78,0.1923,45.529,5,5,3,1.371,0.0641,0.0641
4B,B,350000000,400000000,169,0.0828,48.332,18,8,3,1.1221,0.10651,0.04734
4B,B,400000000,450000000,285,0.0982,51.057,56,14,7,1.7113,0.19649,0.04912
4B,B,450000000,500000000,289,0.1038,50.859,58,10,3,0.5748,0.20069,0.0346
4B,B,500000000,550000000,331,0.1631,50.238,205,20,7,0.8042,0.61934,0.06042
4B,B,550000000,600000000,371,0.1509,52.919,106,35,8,2.0137,0.28571,0.09434
4B,B,600000000,650000000,503,0.1511,52.511,158,35,6,1.7317,0.31412,0.06958
4B,B,650000000,700000000,399,0.3559,52.299,102,36,8,1.7683,0.25564,0.09023
4D,D,0,50000000,768,0.1406,51.093,210,41,7,1.3825,0.27344,0.05339
4D,D,50000000,100000000,422,0.1137,50.775,161,16,5,0.6979,0.38152,0.03791
4D,D,100000000,150000000,302,0.1225,50.077,53,14,7,1.8859,0.1755,0.04636
4D,D,150000000,200000000,58,0.1897,46.617,16,8,3,1.0141,0.27586,0.13793
4D,D,200000000,250000000,93,0.2903,45.569,16,8,4,0.9934,0.17204,0.08602
4D,D,250000000,300000000,95,0.1053,47.289,15,6,4,1.5546,0.15789,0.06316
4D,D,300000000,350000000,317,0.0789,50.29,65,10,5,0.6913,0.20505,0.03155
4D,D,350000000,400000000,344,0.0785,51.712,41,9,5,0.8629,0.11919,0.02616
4D,D,400000000,450000000,438,0.1804,51.297,21,8,3,1.0488,0.04795,0.01826
4D,D,450000000,500000000,679,0.1252,53.001,96,18,7,1.0665,0.14138,0.02651
4D,D,500000000,550000000,223,0.1659,51.897,51,13,5,1.6277,0.2287,0.0583
5A,A,0,50000000,568,0.2482,50.292,304,57,8,1.5488,0.53521,0.10035
5A,A,50000000,100000000,1162,0.8201,51.944,82,21,6,1.3812,0.07057,0.01807
5A,A,100000000,150000000,224,0.192,49.105,64,20,5,1.1499,0.28571,0.08929
5A,A,150000000,200000000,80,0.2875,47.66,8,7,4,1.9056,0.1,0.0875
5A,A,200000000,250000000,98,0.2347,48.784,12,5,4,1.2075,0.12245,0.05102
5A,A,250000000,300000000,133,0.1278,49.94,26,9,2,0.3912,0.19549,0.06767
5A,A,300000000,350000000,296,0.1588,49.576,21,10,3,1.3788,0.07095,0.03378
5A,A,350000000,400000000,329,0.1094,49.758,71,14,6,1.3281,0.21581,0.04255
5A,A,400000000,450000000,375,0.1467,51.812,114,31,7,1.6684,0.304,0.08267
5A,A,450000000,500000000,569,0.1634,52.288,134,30,7,1.5163,0.2355,0.05272
5A,A,500000000,550000000,574,0.1603,52.66,173,43,7,1.7775,0.30139,0.07491
5A,A,550000000,600000000,658,0.1717,51.715,403,59,9,1.3485,0.61246,0.08967
5A,A,600000000,650000000,654,0.1728,51.709,97,36,6,1.9044,0.14832,0.05505
5A,A,650000000,700000000,722,0.1953,52.604,172,40,9,1.8224,0.23823,0.0554
5A,A,700000000,750000000,149,0.2483,52.216,90,17,7,1.6273,0.60403,0.11409
5B,B,0,50000000,491,0.2974,49.607,288,71,10,2.3191,0.58656,0.1446
5B,B,50000000,100000000,846,0.6513,51.476,259,28,8,0.6782,0.30615,0.0331
5B,B,100000000,150000000,295,0.1593,48.877,88,17,5,1.5582,0.29831,0.05763
5B,B,150000000,200000000,76,0.1974,46.554,37,10,4,0.7566,0.48684,0.13158
5B,B,200000000,250000000,172,0.0872,49.825,233,14,3,0.2242,1.35465,0.0814
5B,B,250000000,300000000,295,0.1119,48.929,102,10,3,0.3176,0.34576,0.0339
5B,B,300000000,350000000,310,0.1194,50.014,44,11,4,1.4607,0.14194,0.03548
5B,B,350000000,400000000,305,0.1443,51.14,81,17,6,0.7381,0.26557,0.05574
5B,B,400000000,450000000,416,0.1466,51.983,169,34,5,1.1205,0.40625,0.08173
5B,B,450000000,500000000,521,0.1593,52.116,173,43,9,1.8168,0.33205,0.08253
5B,B,500000000,550000000,557,0.1957,51.753,180,50,9,2.2741,0.32316,0.08977
5B,B,550000000,600000000,564,0.1649,51.082,517,49,11,1.1542,0.91667,0.08688
5B,B,600000000,650000000,548,0.2044,52.801,101,34,6,1.699,0.18431,0.06204
5B,B,650000000,700000000,755,0.2728,50.952,181,46,8,1.7776,0.23974,0.06093
5B,B,700000000,750000000,261,0.2222,50.435,93,28,6,1.8695,0.35632,0.10728
5D,D,0,50000000,593,0.3288,49.594,136,36,9,1.8632,0.22934,0.06071
5D,D,50000000,100000000,679,0.539,51.306,60,19,5,1.7827,0.08837,0.02798
5D,D,100000000,150000000,267,0.1199,49.168,54,9,3,0.6683,0.20225,0.03371
5D,D,150000000,200000000,99,0.1212,47.598,41,14,4,1.2627,0.41414,0.14141
5D,D,200000000,250000000,317,0.0852,49.942,37,16,7,1.5386,0.11672,0.05047
5D,D,250000000,300000000,373,0.1099,48.817,37,10,5,1.7823,0.0992,0.02681
5D,D,300000000,350000000,447,0.1477,51.581,52,19,6,1.9646,0.11633,0.04251
5D,D,350000000,400000000,633,0.1216,51.524,48,23,6,1.5677,0.07583,0.03633
5D,D,400000000,450000000,754,0.1897,52.584,123,20,6,1.1225,0.16313,0.02653
5D,D,450000000,500000000,777,0.1583,51.734,2950,25,9,0.1444,3.79665,0.03218
5D,D,500000000,550000000,962,0.2692,50.767,206,39,8,1.0512,0.21414,0.04054
5D,D,550000000,600000000,326,0.2055,49.54,94,19,7,0.9454,0.28834,0.05828
6A,A,0,50000000,853,0.2263,51.203,407,89,11,2.2422,0.47714,0.10434
6A,A,50000000,100000000,472,0.2352,49.541,123,32,9,1.5529,0.26059,0.0678
6A,A,100000000,150000000,342,0.2076,50.542,60,18,7,1.5803,0.17544,0.05263
6A,A,150000000,200000000,200,0.15,50.409,18,9,2,0.65,0.09,0.045
6A,A,200000000,250000000,123,0.2439,48.509,38,9,4,1.3476,0.30894,0.07317
6A,A,250000000,300000000,76,0.3026,47.072,44,9,4,1.6062,0.57895,0.11842
6A,A,300000000,350000000,54,0.1667,46.949,91,7,5,1.2146,1.68519,0.12963
6A,A,350000000,400000000,128,0.1484,49.441,38,7,4,1.2284,0.29688,0.05469
6A,A,400000000,450000000,225,0.16,50.595,116,19,5,0.9365,0.51556,0.08444
6A,A,450000000,500000000,338,0.1006,52.162,124,23,6,1.1606,0.36686,0.06805
6A,A,500000000,550000000,391,0.0997,52.116,183,25,7,0.8232,0.46803,0.06394
6A,A,550000000,600000000,672,0.1667,51.877,268,46,8,1.3154,0.39881,0.06845
6A,A,600000000,650000000,433,0.194,50.625,204,40,7,1.9633,0.47113,0.09238
6B,B,0,50000000,769,0.3316,50.644,265,74,11,2.4277,0.3446,0.09623
6B,B,50000000,100000000,416,0.2788,51.262,67,29,5,1.501,0.16106,0.06971
6B,B,100000000,150000000,401,0.2893,49.947,143,45,7,2.0399,0.35661,0.11222
6B,B,150000000,200000000,326,0.2117,50.165,88,27,7,1.9073,0.26994,0.08282
6B,B,200000000,250000000,246,0.1829,49.717,85,22,8,2.2265,0.34553,0.08943
6B,B,250000000,300000000,147,0.2109,49.259,19,7,3,1.0215,0.12925,0.04762
6B,B,300000000,350000000,87,0.1724,47.812,18,10,5,1.7233,0.2069,0.11494
6B,B,350000000,400000000,85,0.3412,46.661,6,4,4,1.7925,0.07059,0.04706
6B,B,400000000,450000000,139,0.1439,47.84,61,14,3,0.3281,0.43885,0.10072
6B,B,450000000,500000000,267,0.1273,50.449,77,26,7,1.9567,0.28839,0.09738
6B,B,500000000,550000000,304,0.0987,51.721,86,21,6,1.2862,0.28289,0.06908
6B,B,550000000,600000000,355,0.1521,51.763,92,29,7,2.2009,0.25915,0.08169
6B,B,600000000,650000000,355,0.1577,52.152,153,27,7,1.0845,0.43099,0.07606
6B,B,650000000,700000000,592,0.2365,51.38,143,43,9,1.8567,0.24155,0.07264
6B,B,700000000,750000000,427,0.2482,48.73,105,34,8,2.186,0.2459,0.07963
6D,D,0,50000000,887,0.248,50.436,205,51,10,1.9872,0.23112,0.0575
6D,D,50000000,100000000,519,0.2351,49.934,168,23,6,1.3018,0.3237,0.04432
6D,D,100000000,150000000,356,0.118,50.664,33,10,3,1.4621,0.0927,0.02809
6D,D,150000000,200000000,132,0.1667,48.014,28,11,5,1.8572,0.21212,0.08333
6D,D,200000000,250000000,65,0.1231,46.443,27,9,5,2.0296,0.41538,0.13846
6D,D,250000000,300000000,250,0.124,49.292,29,11,6,2.0555,0.116,0.044
6D,D,300000000,350000000,352,0.0682,51.916,53,14,6,1.9721,0.15057,0.03977
6D,D,350000000,400000000,426,0.1009,51.721,67,9,4,1.2269,0.15728,0.02113
6D,D,400000000,450000000,669,0.1809,52.063,103,13,4,1.7293,0.15396,0.01943
6D,D,450000000,500000000,540,0.2167,49.946,220,38,9,1.7996,0.40741,0.07037
7A,A,0,50000000,885,0.4599,50.457,332,63,13,1.7536,0.37514,0.07119
7A,A,50000000,100000000,632,0.2516,51.251,190,52,9,1.8541,0.30063,0.08228
7A,A,100000000,150000000,461,0.1866,52.572,80,30,7,2.0684,0.17354,0.06508
7A,A,150000000,200000000,368,0.1141,51.931,104,18,7,1.1514,0.28261,0.04891
7A,A,200000000,250000000,291,0.1065,49.779,36,18,4,1.6684,0.12371,0.06186
7A,A,250000000,300000000,223,0.1435,49.734,37,16,3,1.2405,0.16592,0.07175
7A,A,300000000,350000000,79,0.2025,47.438,44,13,4,1.6289,0.55696,0.16456
7A,A,350000000,400000000,89,0.2472,44.885,11,3,2,0.8454,0.1236,0.03371
7A,A,400000000,450000000,178,0.1236,48.632,30,7,5,1.97,0.16854,0.03933
7A,A,450000000,500000000,246,0.1341,50.255,35,15,6,1.9633,0.14228,0.06098
7A,A,500000000,550000000,361,0.108,52.273,69,21,6,1.4859,0.19114,0.05817
7A,A,550000000,600000000,356,0.1994,51.109,66,22,8,2.2505,0.18539,0.0618
7A,A,600000000,650000000,454,0.207,51.858,120,34,6,1.516,0.26432,0.07489
7A,A,650000000,700000000,604,0.2599,51.747,262,52,8,1.8202,0.43377,0.08609
7A,A,700000000,750000000,577,0.2201,51.04,481,50,7,1.2879,0.83362,0.08666
7B,B,0,50000000,509,0.2161,51.042,185,54,11,2.3109,0.36346,0.10609
7B,B,50000000,100000000,375,0.1253,52.161,98,30,6,1.9022,0.26133,0.08
7B,B,100000000,150000000,402,0.1393,51.367,87,25,5,1.5942,0.21642,0.06219
7B,B,150000000,200000000,243,0.0988,49.655,130,19,7,0.993,0.53498,0.07819
7B,B,200000000,250000000,252,0.1468,49.514,43,17,5,1.5052,0.17063,0.06746
7B,B,250000000,300000000,79,0.1772,47.845,12,8,4,1.5511,0.1519,0.10127
7B,B,300000000,350000000,132,0.1288,48.38,30,11,3,0.8118,0.22727,0.08333
7B,B,350000000,400000000,186,0.0968,48.483,14,5,4,1.2917,0.07527,0.02688
7B,B,400000000,450000000,249,0.0884,51.592,15,10,4,1.7465,0.06024,0.04016
7B,B,450000000,500000000,304,0.102,50.961,50,16,6,1.2881,0.16447,0.05263
7B,B,500000000,550000000,344,0.1192,51.331,95,21,6,1.621,0.27616,0.06105
7B,B,550000000,600000000,396,0.2374,51.534,123,34,8,1.7109,0.31061,0.08586
7B,B,600000000,650000000,407,0.2285,51.417,173,47,8,1.6538,0.42506,0.11548
7B,B,650000000,700000000,509,0.3163,52.067,167,49,9,2.25,0.32809,0.09627
7B,B,700000000,750000000,680,0.2838,50.422,209,53,11,1.97,0.30735,0.07794
7B,B,750000000,800000000,25,0.4,46.29,13,6,3,1.2389,0.52,0.24
7D,D,0,50000000,838,0.2196,51.108,193,54,9,1.7609,0.23031,0.06444
7D,D,50000000,100000000,726,0.2713,51.094,153,38,9,2.1268,0.21074,0.05234
7D,D,100000000,150000000,445,0.1685,53.514,69,20,7,1.7116,0.15506,0.04494
7D,D,150000000,200000000,435,0.0828,51.468,82,18,7,1.0519,0.18851,0.04138
7D,D,200000000,250000000,319,0.1787,49.36,17,9,4,1.3784,0.05329,0.02821
7D,D,250000000,300000000,170,0.0765,49.645,8,5,3,1.2988,0.04706,0.02941
7D,D,300000000,350000000,75,0.1733,45.845,8,7,3,1.0613,0.10667,0.09333
7D,D,350000000,400000000,226,0.0973,49.224,55,13,6,0.9119,0.24336,0.05752
7D,D,400000000,450000000,360,0.1167,51.087,32,14,4,1.6132,0.08889,0.03889
7D,D,450000000,500000000,361,0.1053,51.792,17,13,3,1.2896,0.04709,0.03601
7D,D,500000000,550000000,458,0.1921,52.258,94,17,4,1.3563,0.20524,0.03712
7D,D,550000000,600000000,622,0.1945,52.699,186,28,7,1.2224,0.29904,0.04502
7D,D,600000000,650000000,668,0.2126,51.58,69,28,7,1.9456,0.10329,0.04192
