chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,mean_gc_content,n_records,n_distinct_studies,n_trait_categories,trait_shannon_entropy,records_per_gene,studies_per_gene
1A,A,210000000,220000000,13,0.0769,47.268,1,1,1,0.0,0.07692,0.07692
1A,A,220000000,230000000,11,0.1818,49.426,3,1,2,0.9183,0.27273,0.09091
1A,A,230000000,240000000,34,0.0882,48.141,3,2,2,0.9183,0.08824,0.05882
1A,A,240000000,250000000,27,0.037,47.606,1,1,1,0.0,0.03704,0.03704
1A,A,250000000,260000000,67,0.1642,48.749,5,5,3,1.371,0.07463,0.07463
1A,A,260000000,270000000,32,0.1875,49.6,4,2,1,0.0,0.125,0.0625
1A,A,270000000,280000000,31,0.4516,47.995,5,2,2,0.7219,0.16129,0.06452
1A,A,280000000,290000000,33,0.0606,49.58,1,1,1,0.0,0.0303,0.0303
1A,A,290000000,300000000,58,0.1724,49.649,10,6,4,1.571,0.17241,0.10345
1A,A,300000000,310000000,66,0.0606,51.746,13,7,3,1.2389,0.19697,0.10606
1A,A,310000000,320000000,32,0.2812,52.782,4,2,3,1.5,0.125,0.0625
1A,A,320000000,330000000,51,0.1765,52.106,9,6,3,1.2244,0.17647,0.11765
1A,A,330000000,340000000,57,0.1053,53.255,9,7,5,2.1972,0.15789,0.12281
1A,A,340000000,350000000,52,0.1923,49.428,12,6,4,1.7296,0.23077,0.11538
1A,A,350000000,360000000,66,0.0758,50.701,14,6,5,2.0742,0.21212,0.09091
1A,A,360000000,370000000,79,0.1266,52.723,8,6,3,1.2988,0.10127,0.07595
1A,A,370000000,380000000,70,0.1286,51.422,24,6,3,0.4972,0.34286,0.08571
1A,A,380000000,390000000,60,0.2,51.116,25,6,2,0.4022,0.41667,0.1
1A,A,390000000,400000000,72,0.0417,50.313,7,4,2,0.8631,0.09722,0.05556
1A,A,400000000,410000000,56,0.125,50.887,12,5,4,1.4183,0.21429,0.08929
1A,A,410000000,420000000,23,0.0435,46.319,3,2,2,0.9183,0.13043,0.08696
1A,A,420000000,430000000,50,0.14,50.216,0,0,0,0.0,0.0,0.0
1A,A,430000000,440000000,61,0.1311,49.724,3,3,3,1.585,0.04918,0.04918
1A,A,440000000,450000000,104,0.0673,50.993,11,5,4,1.8586,0.10577,0.04808
1A,A,450000000,460000000,63,0.0317,50.231,17,9,3,0.8343,0.26984,0.14286
1A,A,460000000,470000000,109,0.1284,53.014,11,9,5,1.8676,0.10092,0.08257
1A,A,470000000,480000000,58,0.069,50.718,46,13,5,1.0561,0.7931,0.22414
1A,A,480000000,490000000,135,0.1185,53.096,27,15,7,2.2786,0.2,0.11111
1A,A,490000000,500000000,145,0.1517,53.286,103,12,6,0.6196,0.71034,0.08276
1A,A,500000000,510000000,95,0.1895,53.513,61,19,5,0.7981,0.64211,0.2
1A,A,510000000,520000000,121,0.1157,53.202,23,12,4,1.0862,0.19008,0.09917
1A,A,520000000,530000000,88,0.2045,53.292,28,15,7,2.1764,0.31818,0.17045
1A,A,530000000,540000000,198,0.197,51.138,99,29,6,0.9201,0.5,0.14646
1A,A,540000000,550000000,178,0.1854,52.937,89,18,6,1.4637,0.5,0.10112
1A,A,550000000,560000000,198,0.202,52.184,28,14,5,1.2719,0.14141,0.07071
1A,A,560000000,570000000,154,0.2727,50.911,39,13,5,1.4614,0.25325,0.08442
1A,A,570000000,580000000,187,0.1925,53.665,44,22,7,1.775,0.23529,0.11765
1A,A,580000000,590000000,166,0.247,49.286,86,26,7,1.985,0.51807,0.15663
1A,A,590000000,600000000,46,0.1522,49.16,20,7,3,1.1568,0.43478,0.15217
1B,B,0,10000000,226,0.354,47.261,88,30,9,2.5392,0.38938,0.13274
1B,B,10000000,20000000,215,0.3907,48.888,55,21,6,1.6944,0.25581,0.09767
1B,B,20000000,30000000,97,0.433,49.719,22,13,5,2.0061,0.2268,0.13402
1B,B,30000000,40000000,76,0.2368,51.86,40,11,7,2.3822,0.52632,0.14474
1B,B,40000000,50000000,540,0.8963,51.717,53,12,5,1.8731,0.09815,0.02222
1B,B,50000000,60000000,123,0.2846,49.231,33,9,6,2.1776,0.26829,0.07317
1B,B,60000000,70000000,78,0.1795,48.84,77,9,5,1.1833,0.98718,0.11538
1B,B,70000000,80000000,18,0.0556,49.658,7,4,4,1.9502,0.38889,0.22222
1B,B,80000000,90000000,68,0.7206,52.667,3,3,3,1.585,0.04412,0.04412
1B,B,90000000,100000000,65,0.1385,49.777,16,4,4,1.6226,0.24615,0.06154
1B,B,100000000,110000000,48,0.1458,52.847,35,11,6,1.9819,0.72917,0.22917
1B,B,110000000,120000000,88,0.25,49.687,40,8,5,1.6391,0.45455,0.09091
1B,B,120000000,130000000,38,0.3421,47.821,14,3,4,1.6106,0.36842,0.07895
1B,B,130000000,140000000,76,0.1316,52.531,4,2,3,1.5,0.05263,0.02632
1B,B,140000000,150000000,44,0.1818,50.675,25,5,5,1.3713,0.56818,0.11364
1B,B,150000000,160000000,62,0.0968,47.591,19,3,4,1.6068,0.30645,0.04839
1B,B,160000000,170000000,43,0.1395,48.24,15,2,3,1.5656,0.34884,0.04651
1B,B,170000000,180000000,46,0.0217,52.479,18,3,4,1.0975,0.3913,0.06522
1B,B,180000000,190000000,33,0.0909,49.495,19,2,3,1.0215,0.57576,0.06061
1B,B,190000000,200000000,36,0.0278,50.433,12,5,5,1.9508,0.33333,0.13889
1B,B,200000000,210000000,17,0.3529,43.516,5,2,3,1.371,0.29412,0.11765
1B,B,210000000,220000000,18,0.1667,46.612,3,1,1,0.0,0.16667,0.05556
1B,B,220000000,230000000,11,0.0,45.569,6,4,3,1.4591,0.54545,0.36364
1B,B,230000000,240000000,13,0.2308,48.092,0,0,0,0.0,0.0,0.0
1B,B,240000000,250000000,14,0.0714,47.631,0,0,0,0.0,0.0,0.0
1B,B,250000000,260000000,15,0.0667,45.417,1,1,1,0.0,0.06667,0.06667
1B,B,260000000,270000000,42,0.0476,50.819,4,3,1,0.0,0.09524,0.07143
1B,B,270000000,280000000,25,0.08,48.228,0,0,0,0.0,0.0,0.0
1B,B,280000000,290000000,40,0.275,47.52,4,3,2,0.8113,0.1,0.075
1B,B,290000000,300000000,27,0.1481,49.479,19,5,5,1.5055,0.7037,0.18519
1B,B,300000000,310000000,44,0.0909,50.285,47,7,3,1.1219,1.06818,0.15909
1B,B,310000000,320000000,35,0.1429,48.697,14,6,4,1.4838,0.4,0.17143
1B,B,320000000,330000000,63,0.0952,50.613,6,2,3,1.2516,0.09524,0.03175
1B,B,330000000,340000000,66,0.1667,52.534,21,8,4,1.363,0.31818,0.12121
1B,B,340000000,350000000,57,0.1053,52.296,17,7,3,0.6402,0.29825,0.12281
1B,B,350000000,360000000,59,0.0678,50.555,9,3,3,0.9864,0.15254,0.05085
1B,B,360000000,370000000,43,0.1395,51.512,36,4,3,1.4401,0.83721,0.09302
1B,B,370000000,380000000,43,0.2093,50.494,129,12,3,0.9047,3.0,0.27907
1B,B,380000000,390000000,53,0.0755,50.841,65,7,2,0.9957,1.22642,0.13208
1B,B,390000000,400000000,73,0.0959,53.224,55,3,2,0.5983,0.75342,0.0411
1B,B,400000000,410000000,65,0.1538,51.401,30,3,3,1.1767,0.46154,0.04615
1B,B,410000000,420000000,56,0.1429,50.002,45,7,3,0.8684,0.80357,0.125
1B,B,420000000,430000000,82,0.0976,50.715,19,7,4,1.3727,0.23171,0.08537
1B,B,430000000,440000000,66,0.0758,49.853,22,7,3,1.1819,0.33333,0.10606
1B,B,440000000,450000000,72,0.1667,51.242,13,5,2,0.7793,0.18056,0.06944
1B,B,450000000,460000000,64,0.0781,50.286,16,8,4,1.5016,0.25,0.125
1B,B,460000000,470000000,57,0.1404,50.15,10,8,3,1.1568,0.17544,0.14035
1B,B,470000000,480000000,57,0.0351,50.751,10,6,4,1.571,0.17544,0.10526
1B,B,480000000,490000000,88,0.0682,51.914,28,4,3,0.8889,0.31818,0.04545
1B,B,490000000,500000000,61,0.1475,52.196,12,6,3,0.8167,0.19672,0.09836
1B,B,500000000,510000000,56,0.1607,48.913,10,4,2,0.971,0.17857,0.07143
1B,B,510000000,520000000,60,0.1,50.631,47,9,5,1.7997,0.78333,0.15
1B,B,520000000,530000000,87,0.1954,53.854,16,5,4,1.1863,0.18391,0.05747
1B,B,530000000,540000000,86,0.2442,52.748,40,11,6,1.5022,0.46512,0.12791
1B,B,540000000,550000000,108,0.2778,51.628,12,8,5,1.8962,0.11111,0.07407
1B,B,550000000,560000000,91,0.2418,53.982,37,16,7,2.348,0.40659,0.17582
1B,B,560000000,570000000,83,0.1687,51.074,49,15,7,1.6794,0.59036,0.18072
1B,B,570000000,580000000,77,0.1429,50.396,54,17,8,1.9862,0.7013,0.22078
1B,B,580000000,590000000,123,0.1301,51.55,80,17,7,1.383,0.65041,0.13821
1B,B,590000000,600000000,98,0.1735,51.461,41,5,3,0.5588,0.41837,0.05102
1B,B,600000000,610000000,72,0.2083,52.491,31,12,5,1.8042,0.43056,0.16667
1B,B,610000000,620000000,87,0.1724,52.908,17,8,6,1.8981,0.1954,0.09195
1B,B,620000000,630000000,124,0.2016,53.589,72,14,5,0.4973,0.58065,0.1129
1B,B,630000000,640000000,180,0.3278,49.64,35,17,4,1.239,0.19444,0.09444
1B,B,640000000,650000000,108,0.1944,52.003,82,21,7,1.6258,0.75926,0.19444
1B,B,650000000,660000000,160,0.3875,50.257,40,11,3,0.6649,0.25,0.06875
1B,B,660000000,670000000,172,0.2151,53.143,87,20,6,1.1015,0.50581,0.11628
1B,B,670000000,680000000,199,0.2965,49.679,127,24,5,1.1753,0.63819,0.1206
1B,B,680000000,690000000,97,0.3093,49.165,56,19,6,1.1155,0.57732,0.19588
1D,D,0,10000000,251,0.2948,47.913,155,37,8,1.9788,0.61753,0.14741
1D,D,10000000,20000000,189,0.328,49.977,71,24,8,2.289,0.37566,0.12698
1D,D,20000000,30000000,336,0.7827,51.644,28,13,6,2.2195,0.08333,0.03869
1D,D,30000000,40000000,104,0.1731,49.322,34,17,7,2.2711,0.32692,0.16346
1D,D,40000000,50000000,93,0.1613,49.562,25,10,5,2.0922,0.26882,0.10753
1D,D,50000000,60000000,99,0.2424,49.292,16,11,7,2.25,0.16162,0.11111
1D,D,60000000,70000000,75,0.0933,51.932,2,2,2,1.0,0.02667,0.02667
1D,D,70000000,80000000,87,0.1034,49.134,8,5,2,0.8113,0.09195,0.05747
1D,D,80000000,90000000,75,0.1867,53.272,5,2,2,0.971,0.06667,0.02667
1D,D,90000000,100000000,54,0.1111,47.875,9,5,3,1.3516,0.16667,0.09259
1D,D,100000000,110000000,63,0.0952,49.008,6,4,4,1.9183,0.09524,0.06349
1D,D,110000000,120000000,70,0.1143,52.431,9,7,3,0.9864,0.12857,0.1
1D,D,120000000,130000000,33,0.0303,48.885,1,1,1,0.0,0.0303,0.0303
1D,D,130000000,140000000,29,0.0345,47.033,3,2,2,0.9183,0.10345,0.06897
1D,D,140000000,150000000,38,0.1579,47.868,2,0,1,0.0,0.05263,0.0
1D,D,150000000,160000000,17,0.1176,45.789,1,1,1,0.0,0.05882,0.05882
1D,D,160000000,170000000,16,0.1875,46.968,4,3,3,1.5,0.25,0.1875
1D,D,170000000,180000000,14,0.1429,44.631,3,2,1,0.0,0.21429,0.14286
1D,D,180000000,190000000,28,0.1429,45.217,2,2,1,0.0,0.07143,0.07143
1D,D,190000000,200000000,61,0.082,50.138,2,0,1,0.0,0.03279,0.0
1D,D,200000000,210000000,66,0.1818,49.152,12,8,4,1.6258,0.18182,0.12121
1D,D,210000000,220000000,49,0.1224,49.382,16,5,2,0.3373,0.32653,0.10204
1D,D,220000000,230000000,63,0.1905,47.58,1,1,1,0.0,0.01587,0.01587
1D,D,230000000,240000000,58,0.0517,50.975,5,3,1,0.0,0.08621,0.05172
1D,D,240000000,250000000,76,0.2895,47.032,11,5,4,1.8231,0.14474,0.06579
1D,D,250000000,260000000,129,0.3643,45.939,13,4,1,0.0,0.10078,0.03101
1D,D,260000000,270000000,64,0.125,52.88,2,2,1,0.0,0.03125,0.03125
1D,D,270000000,280000000,46,0.1087,51.483,2,1,2,1.0,0.04348,0.02174
1D,D,280000000,290000000,63,0.0635,50.007,4,2,2,1.0,0.06349,0.03175
1D,D,290000000,300000000,108,0.1389,52.842,3,3,2,0.9183,0.02778,0.02778
1D,D,300000000,310000000,78,0.1026,51.159,10,8,5,2.2464,0.12821,0.10256
1D,D,310000000,320000000,89,0.0674,51.065,14,8,4,1.4299,0.1573,0.08989
1D,D,320000000,330000000,89,0.1685,49.305,3,3,3,1.585,0.03371,0.03371
1D,D,330000000,340000000,69,0.058,50.172,0,0,0,0.0,0.0,0.0
1D,D,340000000,350000000,104,0.0192,51.363,8,6,4,1.75,0.07692,0.05769
1D,D,350000000,360000000,68,0.1176,50.171,4,4,3,1.5,0.05882,0.05882
1D,D,360000000,370000000,100,0.11,53.018,2,2,2,1.0,0.02,0.02
1D,D,370000000,380000000,90,0.1222,51.068,12,7,4,1.7842,0.13333,0.07778
1D,D,380000000,390000000,94,0.1064,51.453,10,6,5,2.2464,0.10638,0.06383
1D,D,390000000,400000000,113,0.1858,52.46,7,5,2,0.5917,0.06195,0.04425
1D,D,400000000,410000000,128,0.1172,52.366,18,7,4,1.8366,0.14062,0.05469
1D,D,410000000,420000000,133,0.1805,54.309,13,9,6,2.1416,0.09774,0.06767
1D,D,420000000,430000000,122,0.1885,52.555,26,7,5,2.0666,0.21311,0.05738
1D,D,430000000,440000000,175,0.2171,50.832,17,8,3,0.6402,0.09714,0.04571
1D,D,440000000,450000000,165,0.1818,53.104,5,3,2,0.7219,0.0303,0.01818
1D,D,450000000,460000000,157,0.1911,52.683,8,6,4,1.8113,0.05096,0.03822
1D,D,460000000,470000000,198,0.2323,53.436,21,9,3,1.519,0.10606,0.04545
1D,D,470000000,480000000,241,0.2075,52.238,19,11,4,1.0583,0.07884,0.04564
1D,D,480000000,490000000,212,0.2783,50.692,23,12,7,1.9452,0.10849,0.0566
1D,D,490000000,500000000,78,0.1795,48.862,9,6,4,1.4466,0.11538,0.07692
2A,A,0,10000000,216,0.1991,49.025,100,38,10,2.208,0.46296,0.17593
2A,A,10000000,20000000,298,0.1812,50.179,80,25,5,1.9528,0.26846,0.08389
2A,A,20000000,30000000,154,0.1883,51.749,37,17,6,1.9582,0.24026,0.11039
2A,A,30000000,40000000,202,0.2228,51.032,87,25,6,1.485,0.43069,0.12376
2A,A,40000000,50000000,96,0.2188,53.136,98,20,6,0.9464,1.02083,0.20833
2A,A,50000000,60000000,120,0.1167,52.964,34,12,5,1.5124,0.28333,0.1
2A,A,60000000,70000000,119,0.1261,52.687,14,9,4,1.6645,0.11765,0.07563
2A,A,70000000,80000000,134,0.1418,50.576,26,14,5,1.222,0.19403,0.10448
2A,A,80000000,90000000,117,0.1624,50.67,20,11,4,1.0219,0.17094,0.09402
2A,A,90000000,100000000,69,0.1304,51.817,32,10,3,0.7381,0.46377,0.14493
2A,A,100000000,110000000,88,0.1818,52.145,14,11,5,2.067,0.15909,0.125
2A,A,110000000,120000000,70,0.1,50.034,11,7,4,1.9363,0.15714,0.1
2A,A,120000000,130000000,62,0.2258,49.186,6,5,5,2.2516,0.09677,0.08065
2A,A,130000000,140000000,83,0.0964,51.43,6,4,3,1.4591,0.07229,0.04819
2A,A,140000000,150000000,68,0.0588,51.523,9,5,3,1.2244,0.13235,0.07353
2A,A,150000000,160000000,48,0.0833,54.074,6,3,1,0.0,0.125,0.0625
2A,A,160000000,170000000,57,0.0877,51.351,10,5,5,1.961,0.17544,0.08772
2A,A,170000000,180000000,55,0.0545,50.385,12,7,2,1.0,0.21818,0.12727
2A,A,180000000,190000000,46,0.1522,52.115,3,3,2,0.9183,0.06522,0.06522
2A,A,190000000,200000000,61,0.2295,49.706,3,3,3,1.585,0.04918,0.04918
2A,A,200000000,210000000,67,0.0896,50.443,4,3,2,0.8113,0.0597,0.04478
2A,A,210000000,220000000,25,0.16,53.124,3,3,2,0.9183,0.12,0.12
2A,A,220000000,230000000,18,0.1667,53.353,8,4,2,0.5436,0.44444,0.22222
2A,A,230000000,240000000,16,0.1875,47.41,6,4,3,1.2516,0.375,0.25
2A,A,240000000,250000000,9,0.4444,48.472,13,2,1,0.0,1.44444,0.22222
2A,A,250000000,260000000,11,0.4545,47.333,8,2,1,0.0,0.72727,0.18182
2A,A,260000000,270000000,15,0.2,50.139,2,1,1,0.0,0.13333,0.06667
2A,A,270000000,280000000,28,0.2857,47.274,3,1,1,0.0,0.10714,0.03571
2A,A,280000000,290000000,10,0.0,49.208,8,3,1,0.0,0.8,0.3
2A,A,290000000,300000000,9,0.2222,48.268,2,1,1,0.0,0.22222,0.11111
2A,A,300000000,310000000,9,0.2222,47.116,1,1,1,0.0,0.11111,0.11111
2A,A,310000000,320000000,10,0.1,45.902,9,4,2,0.9911,0.9,0.4
2A,A,320000000,330000000,11,0.1818,47.156,14,2,2,0.3712,1.27273,0.18182
2A,A,330000000,340000000,46,0.4565,44.162,4,1,1,0.0,0.08696,0.02174
2A,A,340000000,350000000,16,0.375,46.309,14,1,1,0.0,0.875,0.0625
2A,A,350000000,360000000,12,0.1667,49.24,3,3,2,0.9183,0.25,0.25
2A,A,360000000,370000000,22,0.2727,48.533,6,1,1,0.0,0.27273,0.04545
2A,A,370000000,380000000,30,0.1667,50.953,3,3,1,0.0,0.1,0.1
2A,A,380000000,390000000,43,0.3023,49.007,3,3,2,0.9183,0.06977,0.06977
2A,A,390000000,400000000,30,0.2333,50.292,4,4,2,0.8113,0.13333,0.13333
2A,A,400000000,410000000,21,0.0952,53.711,0,0,0,0.0,0.0,0.0
2A,A,410000000,420000000,49,0.1837,48.11,4,4,3,1.5,0.08163,0.08163
2A,A,420000000,430000000,31,0.129,54.525,4,2,2,1.0,0.12903,0.06452
2A,A,430000000,440000000,27,0.1111,50.226,0,0,0,0.0,0.0,0.0
2A,A,440000000,450000000,34,0.1765,49.441,3,3,2,0.9183,0.08824,0.08824
2A,A,450000000,460000000,34,0.1765,49.971,5,4,1,0.0,0.14706,0.11765
2A,A,460000000,470000000,33,0.0909,47.692,3,2,2,0.9183,0.09091,0.06061
2A,A,470000000,480000000,40,0.125,52.873,5,3,3,1.5219,0.125,0.075
2A,A,480000000,490000000,21,0.2381,49.673,17,4,3,1.0863,0.80952,0.19048
2A,A,490000000,500000000,27,0.0741,48.829,7,4,3,1.4488,0.25926,0.14815
2A,A,500000000,510000000,60,0.1,52.876,15,8,5,1.9656,0.25,0.13333
2A,A,510000000,520000000,66,0.0758,51.617,7,6,5,2.1281,0.10606,0.09091
2A,A,520000000,530000000,57,0.193,50.235,9,7,4,1.6577,0.15789,0.12281
2A,A,530000000,540000000,69,0.1449,50.25,16,5,2,0.8113,0.23188,0.07246
2A,A,540000000,550000000,59,0.2034,51.166,6,6,4,1.7925,0.10169,0.10169
2A,A,550000000,560000000,79,0.1013,51.565,9,6,2,0.7642,0.11392,0.07595
2A,A,560000000,570000000,79,0.1266,51.638,20,7,3,0.7476,0.25316,0.08861
2A,A,570000000,580000000,72,0.1806,52.068,9,5,1,0.0,0.125,0.06944
2A,A,580000000,590000000,72,0.0972,49.823,2,2,1,0.0,0.02778,0.02778
2A,A,590000000,600000000,59,0.1186,52.827,6,2,2,1.0,0.10169,0.0339
2A,A,600000000,610000000,104,0.2115,50.606,30,4,3,0.8519,0.28846,0.03846
2A,A,610000000,620000000,130,0.1462,50.718,11,7,4,1.6858,0.08462,0.05385
2A,A,620000000,630000000,64,0.0625,52.167,7,5,3,1.3788,0.10938,0.07812
2A,A,630000000,640000000,60,0.05,51.664,14,6,2,0.9403,0.23333,0.1
2A,A,640000000,650000000,61,0.1311,52.098,11,8,5,1.9717,0.18033,0.13115
2A,A,650000000,660000000,85,0.1647,52.616,22,4,3,1.1433,0.25882,0.04706
2A,A,660000000,670000000,78,0.1538,52.398,4,4,4,2.0,0.05128,0.05128
2A,A,670000000,680000000,145,0.1241,52.644,13,8,4,1.4885,0.08966,0.05517
2A,A,680000000,690000000,119,0.0924,51.589,10,7,5,1.771,0.08403,0.05882
2A,A,690000000,700000000,118,0.1441,52.543,37,13,5,1.2664,0.31356,0.11017
2A,A,700000000,710000000,137,0.1387,53.158,42,15,4,1.2917,0.30657,0.10949
2A,A,710000000,720000000,202,0.1436,51.528,22,10,6,2.209,0.10891,0.0495
2A,A,720000000,730000000,182,0.1484,52.559,105,19,6,1.4891,0.57692,0.1044
2A,A,730000000,740000000,142,0.2324,51.261,33,21,7,2.2862,0.23239,0.14789
2A,A,740000000,750000000,200,0.27,52.645,54,22,6,1.9933,0.27,0.11
2A,A,750000000,760000000,215,0.2093,51.446,77,26,5,1.2943,0.35814,0.12093
2A,A,760000000,770000000,194,0.2165,50.88,34,19,8,2.4123,0.17526,0.09794
2A,A,770000000,780000000,179,0.2011,50.627,51,27,5,0.9801,0.28492,0.15084
2B,B,0,10000000,220,0.3182,49.241,140,41,11,2.2325,0.63636,0.18636
2B,B,10000000,20000000,221,0.2579,47.838,65,32,10,2.5581,0.29412,0.1448
2B,B,20000000,30000000,191,0.2094,49.294,76,22,5,1.4638,0.39791,0.11518
2B,B,30000000,40000000,118,0.2034,51.077,15,8,4,1.3753,0.12712,0.0678
2B,B,40000000,50000000,144,0.1806,48.277,55,19,6,1.8828,0.38194,0.13194
2B,B,50000000,60000000,126,0.246,51.7,30,16,5,1.7785,0.2381,0.12698
2B,B,60000000,70000000,93,0.3011,53.333,33,19,6,1.3216,0.35484,0.2043
2B,B,70000000,80000000,77,0.2208,52.549,29,14,5,1.6512,0.37662,0.18182
2B,B,80000000,90000000,59,0.1864,51.228,13,6,5,2.192,0.22034,0.10169
2B,B,90000000,100000000,111,0.1802,52.975,50,13,5,1.8539,0.45045,0.11712
2B,B,100000000,110000000,97,0.1753,52.264,26,11,7,2.2997,0.26804,0.1134
2B,B,110000000,120000000,96,0.1667,51.82,10,8,4,1.761,0.10417,0.08333
2B,B,120000000,130000000,35,0.2857,51.896,3,2,2,0.9183,0.08571,0.05714
2B,B,130000000,140000000,100,0.08,49.541,28,13,4,0.6611,0.28,0.13
2B,B,140000000,150000000,79,0.0886,51.392,7,6,5,2.1281,0.08861,0.07595
2B,B,150000000,160000000,112,0.2321,52.535,31,15,6,1.9453,0.27679,0.13393
2B,B,160000000,170000000,88,0.1591,50.697,21,5,3,1.0488,0.23864,0.05682
2B,B,170000000,180000000,74,0.1486,51.279,60,3,3,0.3323,0.81081,0.04054
2B,B,180000000,190000000,82,0.1829,51.507,25,11,4,1.3397,0.30488,0.13415
2B,B,190000000,200000000,59,0.0678,51.849,43,10,4,0.678,0.72881,0.16949
2B,B,200000000,210000000,47,0.1702,52.65,6,5,2,0.9183,0.12766,0.10638
2B,B,210000000,220000000,76,0.0921,50.589,17,11,5,1.8751,0.22368,0.14474
2B,B,220000000,230000000,50,0.14,50.24,5,3,1,0.0,0.1,0.06
2B,B,230000000,240000000,71,0.169,51.208,6,3,2,0.65,0.08451,0.04225
2B,B,240000000,250000000,70,0.1,49.64,21,5,5,1.2495,0.3,0.07143
2B,B,250000000,260000000,45,0.0222,49.053,2,2,2,1.0,0.04444,0.04444
2B,B,260000000,270000000,16,0.1875,51.747,0,0,0,0.0,0.0,0.0
2B,B,270000000,280000000,17,0.3529,45.316,2,2,2,1.0,0.11765,0.11765
2B,B,280000000,290000000,13,0.3077,45.764,0,0,0,0.0,0.0,0.0
2B,B,290000000,300000000,16,0.3125,47.646,0,0,0,0.0,0.0,0.0
2B,B,300000000,310000000,9,0.0,44.254,0,0,0,0.0,0.0,0.0
2B,B,310000000,320000000,11,0.0909,47.625,8,3,3,1.0613,0.72727,0.27273
2B,B,320000000,330000000,15,0.2667,47.078,1,1,1,0.0,0.06667,0.06667
2B,B,330000000,340000000,12,0.1667,45.464,2,1,2,1.0,0.16667,0.08333
2B,B,340000000,350000000,7,0.0,45.524,1,1,1,0.0,0.14286,0.14286
2B,B,350000000,360000000,58,0.3276,48.488,0,0,0,0.0,0.0,0.0
2B,B,360000000,370000000,34,0.0882,48.961,1,1,1,0.0,0.02941,0.02941
2B,B,370000000,380000000,44,0.0227,49.43,4,3,1,0.0,0.09091,0.06818
2B,B,380000000,390000000,64,0.1719,50.367,7,4,4,1.9502,0.10938,0.0625
2B,B,390000000,400000000,80,0.1375,50.421,5,5,3,1.371,0.0625,0.0625
2B,B,400000000,410000000,42,0.0714,47.715,8,6,3,1.5,0.19048,0.14286
2B,B,410000000,420000000,55,0.0364,48.869,24,7,4,0.7417,0.43636,0.12727
2B,B,420000000,430000000,39,0.0513,50.148,128,2,2,0.0659,3.28205,0.05128
2B,B,430000000,440000000,39,0.0513,48.282,91,6,3,0.1744,2.33333,0.15385
2B,B,440000000,450000000,80,0.1125,52.055,21,8,3,1.1155,0.2625,0.1
2B,B,450000000,460000000,75,0.1467,49.744,29,5,4,1.6205,0.38667,0.06667
2B,B,460000000,470000000,57,0.1404,50.632,3,2,1,0.0,0.05263,0.03509
2B,B,470000000,480000000,85,0.1647,49.025,8,4,2,0.5436,0.09412,0.04706
2B,B,480000000,490000000,84,0.1071,51.752,1,1,1,0.0,0.0119,0.0119
2B,B,490000000,500000000,75,0.12,50.917,5,3,3,1.5219,0.06667,0.04
2B,B,500000000,510000000,56,0.125,50.915,4,2,2,1.0,0.07143,0.03571
2B,B,510000000,520000000,82,0.1098,49.84,9,2,1,0.0,0.10976,0.02439
2B,B,520000000,530000000,68,0.1912,51.809,13,9,3,1.1401,0.19118,0.13235
2B,B,530000000,540000000,52,0.0385,49.958,6,6,3,1.4591,0.11538,0.11538
2B,B,540000000,550000000,108,0.2407,51.269,34,13,5,1.2726,0.31481,0.12037
