chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,mean_gc_content,n_records,n_distinct_studies,n_trait_categories,trait_shannon_entropy,records_per_gene,studies_per_gene
1D,D,440000000,460000000,322,0.1863,52.899,13,9,4,1.6692,0.04037,0.02795
1D,D,460000000,480000000,439,0.2187,52.779,40,19,4,1.4369,0.09112,0.04328
1D,D,480000000,500000000,290,0.2517,50.2,32,15,8,1.9627,0.11034,0.05172
2A,A,0,20000000,514,0.1887,49.694,180,57,10,2.1691,0.35019,0.11089
2A,A,20000000,40000000,356,0.2079,51.342,124,36,6,1.7636,0.34831,0.10112
2A,A,40000000,60000000,216,0.162,53.041,132,30,6,1.1329,0.61111,0.13889
2A,A,60000000,80000000,253,0.1344,51.569,40,21,5,1.469,0.1581,0.083
2A,A,80000000,100000000,186,0.1505,51.095,52,18,5,0.9826,0.27957,0.09677
2A,A,100000000,120000000,158,0.1456,51.21,25,16,5,2.062,0.15823,0.10127
2A,A,120000000,140000000,145,0.1517,50.47,12,8,6,2.2516,0.08276,0.05517
2A,A,140000000,160000000,116,0.069,52.578,15,6,3,0.9056,0.12931,0.05172
2A,A,160000000,180000000,112,0.0714,50.877,22,12,6,2.1358,0.19643,0.10714
2A,A,180000000,200000000,107,0.1963,50.742,6,6,4,1.7925,0.05607,0.05607
2A,A,200000000,220000000,92,0.1087,51.172,7,6,3,1.4488,0.07609,0.06522
2A,A,220000000,240000000,34,0.1765,50.556,14,6,4,1.0892,0.41176,0.17647
2A,A,240000000,260000000,20,0.45,47.846,21,3,1,0.0,1.05,0.15
2A,A,260000000,280000000,43,0.2558,48.273,5,1,1,0.0,0.11628,0.02326
2A,A,280000000,300000000,19,0.1053,48.763,10,3,1,0.0,0.52632,0.15789
2A,A,300000000,320000000,19,0.1579,46.477,10,4,2,0.971,0.52632,0.21053
2A,A,320000000,340000000,57,0.4035,44.74,18,2,2,0.3095,0.31579,0.03509
2A,A,340000000,360000000,28,0.2857,47.565,17,4,2,0.3228,0.60714,0.14286
2A,A,360000000,380000000,52,0.2115,49.929,9,4,2,0.9183,0.17308,0.07692
2A,A,380000000,400000000,73,0.274,49.535,7,7,3,1.5567,0.09589,0.09589
2A,A,400000000,420000000,70,0.1571,49.79,4,4,3,1.5,0.05714,0.05714
2A,A,420000000,440000000,58,0.1207,52.524,4,2,2,1.0,0.06897,0.03448
2A,A,440000000,460000000,68,0.1765,49.706,8,7,3,1.2988,0.11765,0.10294
2A,A,460000000,480000000,73,0.1096,50.531,8,4,3,1.4056,0.10959,0.05479
2A,A,480000000,500000000,48,0.1458,49.199,24,7,5,1.7755,0.5,0.14583
2A,A,500000000,520000000,126,0.0873,52.217,22,12,6,2.3788,0.1746,0.09524
2A,A,520000000,540000000,126,0.1667,50.243,25,10,4,1.32,0.19841,0.07937
2A,A,540000000,560000000,138,0.1449,51.394,15,11,5,1.5589,0.1087,0.07971
2A,A,560000000,580000000,151,0.1523,51.843,29,10,3,0.5748,0.19205,0.06623
2A,A,580000000,600000000,131,0.1069,51.176,8,4,3,1.5613,0.06107,0.03053
2A,A,600000000,620000000,234,0.1752,50.668,41,10,5,1.2391,0.17521,0.04274
2A,A,620000000,640000000,124,0.0565,51.924,21,11,3,1.3567,0.16935,0.08871
2A,A,640000000,660000000,146,0.1507,52.399,33,11,6,1.6351,0.22603,0.07534
2A,A,660000000,680000000,223,0.1345,52.558,17,12,6,2.0875,0.07623,0.05381
2A,A,680000000,700000000,237,0.1181,52.064,47,17,6,1.4509,0.19831,0.07173
2A,A,700000000,720000000,339,0.1416,52.187,64,25,7,1.9931,0.18879,0.07375
2A,A,720000000,740000000,324,0.1852,51.99,138,36,8,1.8628,0.42593,0.11111
2A,A,740000000,760000000,415,0.2386,52.024,131,38,7,1.7465,0.31566,0.09157
2A,A,760000000,780000000,373,0.2091,50.759,85,38,9,1.806,0.22788,0.10188
2B,B,0,20000000,441,0.288,48.538,205,61,12,2.425,0.46485,0.13832
2B,B,20000000,40000000,309,0.2071,49.975,91,29,6,1.5025,0.2945,0.09385
2B,B,40000000,60000000,270,0.2111,49.875,85,30,8,2.188,0.31481,0.11111
2B,B,60000000,80000000,170,0.2647,52.978,62,30,6,1.545,0.36471,0.17647
2B,B,80000000,100000000,170,0.1824,52.368,63,18,6,2.0939,0.37059,0.10588
2B,B,100000000,120000000,193,0.171,52.043,36,19,9,2.5899,0.18653,0.09845
2B,B,120000000,140000000,135,0.1333,50.152,31,13,5,0.8128,0.22963,0.0963
2B,B,140000000,160000000,191,0.1728,52.062,38,19,7,2.1369,0.19895,0.09948
2B,B,160000000,180000000,162,0.1543,50.963,81,7,4,0.6393,0.5,0.04321
2B,B,180000000,200000000,141,0.1348,51.65,68,19,5,1.0859,0.48227,0.13475
2B,B,200000000,220000000,123,0.122,51.377,23,16,5,1.7118,0.18699,0.13008
2B,B,220000000,240000000,121,0.157,50.808,11,5,2,0.4395,0.09091,0.04132
2B,B,240000000,260000000,115,0.0696,49.411,23,7,5,1.3285,0.2,0.06087
2B,B,260000000,280000000,33,0.2727,48.434,2,2,2,1.0,0.06061,0.06061
2B,B,280000000,300000000,29,0.3103,46.802,0,0,0,0.0,0.0,0.0
2B,B,300000000,320000000,20,0.05,46.108,8,3,3,1.0613,0.4,0.15
2B,B,320000000,340000000,27,0.2222,46.361,3,2,3,1.585,0.11111,0.07407
2B,B,340000000,360000000,65,0.2923,48.168,1,1,1,0.0,0.01538,0.01538
2B,B,360000000,380000000,78,0.0513,49.226,5,4,1,0.0,0.0641,0.05128
2B,B,380000000,400000000,144,0.1528,50.397,12,8,5,2.1175,0.08333,0.05556
2B,B,400000000,420000000,97,0.0515,48.37,32,11,5,1.1609,0.3299,0.1134
2B,B,420000000,440000000,78,0.0513,49.215,219,7,4,0.1261,2.80769,0.08974
2B,B,440000000,460000000,155,0.129,50.937,50,11,5,1.5831,0.32258,0.07097
2B,B,460000000,480000000,142,0.1549,49.67,11,6,2,0.4395,0.07746,0.04225
2B,B,480000000,500000000,159,0.1132,51.358,6,4,3,1.4591,0.03774,0.02516
2B,B,500000000,520000000,138,0.1159,50.276,13,4,2,0.6194,0.0942,0.02899
2B,B,520000000,540000000,120,0.125,51.007,19,15,3,1.3124,0.15833,0.125
2B,B,540000000,560000000,191,0.1885,51.234,49,22,5,1.24,0.25654,0.11518
2B,B,560000000,580000000,131,0.1298,52.067,35,13,5,1.0904,0.26718,0.09924
2B,B,580000000,600000000,109,0.1468,52.899,48,17,6,1.8429,0.44037,0.15596
2B,B,600000000,620000000,119,0.1092,50.765,61,14,5,1.5867,0.51261,0.11765
2B,B,620000000,640000000,156,0.1731,51.353,41,17,6,2.1029,0.26282,0.10897
2B,B,640000000,660000000,181,0.1989,50.719,46,15,5,1.2491,0.25414,0.08287
2B,B,660000000,680000000,167,0.1078,52.705,75,18,7,1.8201,0.4491,0.10778
2B,B,680000000,700000000,235,0.1617,52.234,71,24,7,1.9823,0.30213,0.10213
2B,B,700000000,720000000,212,0.1792,52.59,84,21,6,1.8966,0.39623,0.09906
2B,B,720000000,740000000,170,0.2,50.886,71,24,6,1.9956,0.41765,0.14118
2B,B,740000000,760000000,277,0.2419,51.441,118,31,7,1.2839,0.42599,0.11191
2B,B,760000000,780000000,275,0.1927,51.094,84,31,7,1.586,0.30545,0.11273
2B,B,780000000,800000000,315,0.2508,50.78,76,24,6,1.9943,0.24127,0.07619
2B,B,800000000,820000000,19,0.2632,50.702,17,7,3,0.8343,0.89474,0.36842
2D,D,0,20000000,520,0.2404,49.662,155,53,9,2.017,0.29808,0.10192
2D,D,20000000,40000000,389,0.2159,51.178,90,35,7,1.8851,0.23136,0.08997
2D,D,40000000,60000000,182,0.1813,52.929,21,9,4,1.717,0.11538,0.04945
2D,D,60000000,80000000,283,0.1343,52.806,137,25,8,1.705,0.4841,0.08834
2D,D,80000000,100000000,198,0.1162,50.712,258,16,8,0.5609,1.30303,0.08081
2D,D,100000000,120000000,205,0.1463,51.769,11,6,4,1.6172,0.05366,0.02927
2D,D,120000000,140000000,182,0.1319,52.083,23,9,5,1.8006,0.12637,0.04945
2D,D,140000000,160000000,121,0.0661,51.817,33,8,5,1.1363,0.27273,0.06612
2D,D,160000000,180000000,98,0.0714,51.834,7,3,3,1.5567,0.07143,0.03061
2D,D,180000000,200000000,129,0.1163,50.556,9,7,1,0.0,0.06977,0.05426
2D,D,200000000,220000000,50,0.1,48.071,0,0,0,0.0,0.0,0.0
2D,D,220000000,240000000,21,0.1429,46.631,2,2,2,1.0,0.09524,0.09524
2D,D,240000000,260000000,32,0.1875,47.954,0,0,0,0.0,0.0,0.0
2D,D,260000000,280000000,47,0.2553,44.761,2,1,1,0.0,0.04255,0.02128
2D,D,280000000,300000000,62,0.1129,47.515,3,3,2,0.9183,0.04839,0.04839
2D,D,300000000,320000000,113,0.0442,50.517,3,3,1,0.0,0.02655,0.02655
2D,D,320000000,340000000,107,0.1215,49.223,6,6,2,0.65,0.05607,0.05607
2D,D,340000000,360000000,106,0.0472,49.532,25,8,3,0.951,0.23585,0.07547
2D,D,360000000,380000000,128,0.0547,52.364,13,3,2,0.6194,0.10156,0.02344
2D,D,380000000,400000000,146,0.1438,49.043,7,6,3,1.3788,0.04795,0.0411
2D,D,400000000,420000000,159,0.1195,52.266,9,5,2,0.7642,0.0566,0.03145
2D,D,420000000,440000000,170,0.0882,51.158,15,5,4,1.0389,0.08824,0.02941
2D,D,440000000,460000000,142,0.0845,50.902,18,13,4,1.3355,0.12676,0.09155
2D,D,460000000,480000000,186,0.1452,51.31,16,5,3,1.0141,0.08602,0.02688
2D,D,480000000,500000000,172,0.1047,52.163,13,6,6,2.4493,0.07558,0.03488
2D,D,500000000,520000000,128,0.0781,52.629,30,12,6,1.4989,0.23438,0.09375
2D,D,520000000,540000000,224,0.1161,52.312,15,9,5,1.9301,0.06696,0.04018
2D,D,540000000,560000000,220,0.1273,51.827,26,12,6,1.9823,0.11818,0.05455
2D,D,560000000,580000000,283,0.1449,53.025,37,18,7,2.1671,0.13074,0.0636
2D,D,580000000,600000000,276,0.1449,52.607,79,22,5,1.0599,0.28623,0.07971
2D,D,600000000,620000000,355,0.2141,51.889,214,30,7,0.9753,0.60282,0.08451
2D,D,620000000,640000000,379,0.2058,50.811,67,23,7,1.9337,0.17678,0.06069
2D,D,640000000,660000000,256,0.2383,50.844,94,20,7,1.947,0.36719,0.07812
3A,A,0,20000000,364,0.3049,50.722,141,47,8,2.0073,0.38736,0.12912
3A,A,20000000,40000000,311,0.2508,51.777,146,28,9,2.1406,0.46945,0.09003
3A,A,40000000,60000000,263,0.1521,49.822,101,23,7,1.0337,0.38403,0.08745
3A,A,60000000,80000000,203,0.1823,52.351,57,13,6,1.9755,0.28079,0.06404
3A,A,80000000,100000000,115,0.1652,52.745,6,6,5,2.2516,0.05217,0.05217
3A,A,100000000,120000000,166,0.1446,53.274,61,8,3,0.582,0.36747,0.04819
3A,A,120000000,140000000,104,0.1442,51.543,14,4,4,1.8092,0.13462,0.03846
3A,A,140000000,160000000,90,0.1222,50.89,21,9,6,1.6636,0.23333,0.1
3A,A,160000000,180000000,100,0.17,51.6,13,8,4,1.7381,0.13,0.08
3A,A,180000000,200000000,64,0.1719,48.482,9,7,4,1.6577,0.14062,0.10938
3A,A,200000000,220000000,84,0.1071,47.951,15,6,3,1.1589,0.17857,0.07143
3A,A,220000000,240000000,45,0.1778,48.234,3,2,3,1.585,0.06667,0.04444
3A,A,240000000,260000000,23,0.1739,48.659,7,3,3,1.3788,0.30435,0.13043
3A,A,260000000,280000000,21,0.1429,45.81,21,6,3,1.1658,1.0,0.28571
3A,A,280000000,300000000,13,0.2308,47.182,6,2,1,0.0,0.46154,0.15385
3A,A,300000000,320000000,21,0.1429,47.561,19,2,2,0.9819,0.90476,0.09524
3A,A,320000000,340000000,31,0.1935,48.527,22,3,2,0.2668,0.70968,0.09677
3A,A,340000000,360000000,28,0.2143,48.661,10,3,2,0.469,0.35714,0.10714
3A,A,360000000,380000000,63,0.0794,48.769,27,5,2,0.5033,0.42857,0.07937
3A,A,380000000,400000000,65,0.1077,48.886,9,3,1,0.0,0.13846,0.04615
3A,A,400000000,420000000,61,0.1803,49.541,10,4,1,0.0,0.16393,0.06557
3A,A,420000000,440000000,110,0.0818,50.977,50,8,5,0.6612,0.45455,0.07273
3A,A,440000000,460000000,97,0.1134,49.885,20,4,2,0.2864,0.20619,0.04124
3A,A,460000000,480000000,125,0.072,51.405,17,6,3,1.2896,0.136,0.048
3A,A,480000000,500000000,128,0.125,50.425,35,11,6,1.6789,0.27344,0.08594
3A,A,500000000,520000000,199,0.1106,51.84,171,20,8,1.6316,0.8593,0.1005
3A,A,520000000,540000000,141,0.1206,50.955,52,12,7,1.8415,0.36879,0.08511
3A,A,540000000,560000000,147,0.0952,52.625,67,13,5,1.2143,0.45578,0.08844
3A,A,560000000,580000000,158,0.1266,51.529,71,20,8,1.3295,0.44937,0.12658
3A,A,580000000,600000000,191,0.1937,50.703,21,11,6,1.9269,0.10995,0.05759
3A,A,600000000,620000000,176,0.125,52.394,31,12,7,1.7544,0.17614,0.06818
3A,A,620000000,640000000,264,0.1894,52.603,203,11,4,0.3011,0.76894,0.04167
3A,A,640000000,660000000,273,0.1722,51.545,361,19,6,0.3227,1.32234,0.0696
3A,A,660000000,680000000,190,0.1947,49.482,66,8,3,0.6312,0.34737,0.04211
3A,A,680000000,700000000,306,0.1699,51.735,51,21,6,1.663,0.16667,0.06863
3A,A,700000000,720000000,290,0.2621,51.383,219,36,7,1.0794,0.75517,0.12414
3A,A,720000000,740000000,340,0.2765,50.456,102,32,6,1.979,0.3,0.09412
3A,A,740000000,760000000,150,0.28,50.598,17,11,5,2.0636,0.11333,0.07333
3B,B,0,20000000,410,0.2268,51.651,198,54,10,2.1236,0.48293,0.13171
3B,B,20000000,40000000,261,0.2835,52.977,103,27,7,1.7617,0.39464,0.10345
3B,B,40000000,60000000,244,0.2172,49.878,53,22,6,2.0132,0.21721,0.09016
3B,B,60000000,80000000,236,0.1653,51.828,80,25,6,1.2639,0.33898,0.10593
3B,B,80000000,100000000,118,0.1949,51.961,18,11,3,1.2327,0.15254,0.09322
3B,B,100000000,120000000,124,0.2097,50.355,12,4,5,1.585,0.09677,0.03226
3B,B,120000000,140000000,120,0.125,51.724,28,7,3,0.4427,0.23333,0.05833
3B,B,140000000,160000000,137,0.0803,52.539,28,12,4,1.1663,0.20438,0.08759
3B,B,160000000,180000000,145,0.1931,53.004,9,3,1,0.0,0.06207,0.02069
3B,B,180000000,200000000,74,0.1351,48.685,3,3,2,0.9183,0.04054,0.04054
3B,B,200000000,220000000,115,0.3217,46.758,7,3,3,1.3788,0.06087,0.02609
3B,B,220000000,240000000,97,0.0722,51.314,6,5,4,1.9183,0.06186,0.05155
3B,B,240000000,260000000,117,0.1026,48.753,12,9,4,1.7296,0.10256,0.07692
3B,B,260000000,280000000,44,0.1136,48.681,5,3,2,0.7219,0.11364,0.06818
3B,B,280000000,300000000,17,0.1765,44.044,5,2,3,1.371,0.29412,0.11765
3B,B,300000000,320000000,22,0.1364,45.876,2,1,2,1.0,0.09091,0.04545
3B,B,320000000,340000000,24,0.1667,48.274,4,1,1,0.0,0.16667,0.04167
3B,B,340000000,360000000,31,0.1935,45.376,3,3,3,1.585,0.09677,0.09677
3B,B,360000000,380000000,76,0.1447,47.683,5,3,2,0.7219,0.06579,0.03947
3B,B,380000000,400000000,90,0.0556,47.998,10,4,3,1.2955,0.11111,0.04444
3B,B,400000000,420000000,113,0.0619,49.999,30,10,3,0.42,0.26549,0.0885
3B,B,420000000,440000000,110,0.0727,50.179,25,12,2,0.2423,0.22727,0.10909
3B,B,440000000,460000000,137,0.0876,50.55,9,9,2,0.7642,0.06569,0.06569
3B,B,460000000,480000000,116,0.2328,50.074,20,8,3,1.406,0.17241,0.06897
3B,B,480000000,500000000,119,0.084,49.759,33,9,3,0.523,0.27731,0.07563
3B,B,500000000,520000000,98,0.0918,51.662,36,11,5,1.5464,0.36735,0.11224
3B,B,520000000,540000000,124,0.1129,51.64,17,7,5,1.736,0.1371,0.05645
3B,B,540000000,560000000,165,0.1212,51.036,81,19,6,0.7813,0.49091,0.11515
3B,B,560000000,580000000,176,0.142,51.337,30,12,5,1.5338,0.17045,0.06818
3B,B,580000000,600000000,143,0.1119,51.348,34,13,5,1.4315,0.23776,0.09091
3B,B,600000000,620000000,122,0.0902,51.89,15,9,5,1.5589,0.12295,0.07377
3B,B,620000000,640000000,113,0.115,51.252,23,6,2,0.258,0.20354,0.0531
3B,B,640000000,660000000,205,0.1902,52.917,15,7,4,1.9329,0.07317,0.03415
3B,B,660000000,680000000,171,0.1345,50.713,18,10,6,2.2188,0.10526,0.05848
3B,B,680000000,700000000,172,0.1802,51.908,21,12,6,1.7909,0.12209,0.06977
3B,B,700000000,720000000,143,0.1818,51.181,23,10,5,1.901,0.16084,0.06993
3B,B,720000000,740000000,258,0.2713,51.54,105,26,7,1.3826,0.40698,0.10078
3B,B,740000000,760000000,203,0.2808,52.019,204,15,7,0.8927,1.00493,0.07389
3B,B,760000000,780000000,254,0.2795,50.914,55,24,6,1.8002,0.21654,0.09449
3B,B,780000000,800000000,254,0.2756,51.327,51,20,6,0.9649,0.20079,0.07874
3B,B,800000000,820000000,308,0.3506,49.413,64,21,7,2.2304,0.20779,0.06818
3B,B,820000000,840000000,188,0.4681,50.369,18,10,4,1.3355,0.09574,0.05319
3D,D,0,20000000,514,0.2179,51.319,91,27,9,1.7798,0.17704,0.05253
3D,D,20000000,40000000,299,0.214,49.39,79,14,6,1.2412,0.26421,0.04682
3D,D,40000000,60000000,272,0.1544,51.785,35,15,5,1.6467,0.12868,0.05515
3D,D,60000000,80000000,157,0.172,51.967,15,6,4,1.7232,0.09554,0.03822
3D,D,80000000,100000000,171,0.1404,53.403,15,7,2,0.7219,0.08772,0.04094
3D,D,100000000,120000000,130,0.1231,53.3,16,7,5,1.3113,0.12308,0.05385
3D,D,120000000,140000000,136,0.1103,51.008,19,7,4,1.5288,0.13971,0.05147
3D,D,140000000,160000000,112,0.1161,50.358,13,8,4,1.6692,0.11607,0.07143
3D,D,160000000,180000000,129,0.0465,49.136,31,8,3,1.0819,0.24031,0.06202
3D,D,180000000,200000000,53,0.0943,47.928,27,4,4,1.0885,0.50943,0.07547
3D,D,200000000,220000000,31,0.3548,46.798,26,3,2,0.5159,0.83871,0.09677
3D,D,220000000,240000000,22,0.2273,45.604,41,5,3,0.9768,1.86364,0.22727
3D,D,240000000,260000000,38,0.2895,46.82,28,3,3,0.7345,0.73684,0.07895
3D,D,260000000,280000000,54,0.0185,46.74,27,2,4,1.0885,0.5,0.03704
3D,D,280000000,300000000,93,0.0753,49.546,22,4,2,0.2668,0.23656,0.04301
3D,D,300000000,320000000,124,0.0806,49.905,21,7,3,0.857,0.16935,0.05645
3D,D,320000000,340000000,120,0.075,49.617,5,5,1,0.0,0.04167,0.04167
3D,D,340000000,360000000,131,0.0763,51.51,6,5,4,1.7925,0.0458,0.03817
3D,D,360000000,380000000,160,0.1,50.715,13,8,4,1.4885,0.08125,0.05
3D,D,380000000,400000000,160,0.1125,51.856,17,10,7,2.4692,0.10625,0.0625
3D,D,400000000,420000000,170,0.1,51.254,19,12,5,1.4658,0.11176,0.07059
3D,D,420000000,440000000,212,0.0943,52.136,8,4,3,1.0613,0.03774,0.01887
3D,D,440000000,460000000,219,0.1507,51.09,7,5,3,1.3788,0.03196,0.02283
3D,D,460000000,480000000,172,0.0756,52.958,9,7,4,1.6577,0.05233,0.0407
3D,D,480000000,500000000,216,0.2083,53.311,11,8,6,2.0495,0.05093,0.03704
3D,D,500000000,520000000,215,0.1907,50.864,36,10,5,1.6478,0.16744,0.04651
3D,D,520000000,540000000,219,0.1553,51.503,15,9,4,1.4716,0.06849,0.0411
