Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Triticum aestivum homoeologue gene stable ID	Triticum aestivum homoeologue chromosome/scaffold name	Triticum aestivum homoeologue chromosome/scaffold start (bp)	Triticum aestivum homoeologue chromosome/scaffold end (bp)	Triticum aestivum homoeology confidence [0 low, 1 high]
TraesCS4B02G082900	4B	81992259	81996535	TraesCS4A02G232900	4A	542039991	542040407	0
TraesCS2B02G569000	2B	759735213	759736252	TraesCS2D02G539900	2D	620005659	620006617	1
TraesCS3B02G001500	3B	1480388	1481723	TraesCS3A02G002000	3A	1328508	1329908	1
TraesCS4A02G414200	4A	684660858	684664306	TraesCS4B02G314900	4B	604203797	604206975	1
TraesCS4A02G414200	4A	684660858	684664306	TraesCS4D02G312000	4D	478032965	478039565	1
TraesCS2D02G258700	2D	314492345	314498064	TraesCS2A02G265100	2A	421063091	421077336	1
TraesCS2D02G258700	2D	314492345	314498064	TraesCS2B02G276900	2B	382589832	382597403	1
TraesCS4D02G309700	4D	477164260	477165998	TraesCS4A02G411900	4A	683967027	683968271	1
TraesCS4D02G309700	4D	477164260	477165998	TraesCS4B02G312100	4B	601791966	601793469	1
TraesCS3A02G418890	3A	660508776	660516164	TraesCS3B02G454190	3B	695554791	695562288	1
TraesCS6D02G083112	6D	48089421	48090266	TraesCS6B02G127400	6B	123017063	123018982	1
TraesCS2D02G284600	2D	359939285	359941634	TraesCS2B02G302500	2B	426146287	426148699	1
TraesCS1D02G180800	1D	254459073	254459318					
TraesCS1B02G441600	1B	662552263	662555078	TraesCS1D02G419200	1D	476252651	476255834	1
TraesCS1B02G441600	1B	662552263	662555078	TraesCS1A02G411400	1A	572017084	572019129	1
TraesCS4B02G054200	4B	43061143	43061867	TraesCS4A02G260400	4A	572845556	572846014	1
TraesCS4B02G054200	4B	43061143	43061867	TraesCS4D02G054200	4D	30195027	30195485	1
TraesCS5D02G068500	5D	65008822	65010357	TraesCS5B02G059400	5B	65524924	65526366	1
TraesCS1B02G160900	1B	277760262	277765920	TraesCS1D02G142300	1D	197726048	197736020	1
TraesCS1B02G160900	1B	277760262	277765920	TraesCS1A02G143500	1A	248422288	248426924	1
TraesCS7A02G099900	7A	61433879	61435762	TraesCS7D02G094500	7D	56954181	56955845	1
TraesCS6B02G105200	6B	84747708	84748682					
TraesCS5B02G388700	5B	567580915	567582555	TraesCS5D02G393300	5D	461603475	461605128	1
TraesCS5B02G388700	5B	567580915	567582555	TraesCS5A02G383900	5A	581572707	581574621	1
TraesCS3B02G249800	3B	398586979	398590714	TraesCS3A02G219400	3A	403006600	403007553	1
TraesCS3B02G249800	3B	398586979	398590714	TraesCS3D02G233100	3D	321718979	321719932	1
TraesCS4A02G474600	4A	733760057	733762355					
TraesCS7D02G354900	7D	458954768	458959971	TraesCS7A02G368000	7A	541334779	541340213	1
TraesCS7D02G354900	7D	458954768	458959971	TraesCS7B02G260600	7B	480858912	480864027	1
TraesCS3B02G549000	3B	784485154	784492960	TraesCS4A02G090300	4A	96483134	96487934	0
TraesCS3B02G549000	3B	784485154	784492960	TraesCS5D02G183700	5D	285453966	285462359	1
TraesCS6B02G151500	6B	153311886	153312837	TraesCS6A02G123300	6A	96813279	96814653	1
TraesCS6B02G151500	6B	153311886	153312837	TraesCS6D02G113500	6D	80112547	80113484	1
TraesCS6A02G180700	6A	205099945	205101750	TraesCS6B02G204800	6B	255271944	255276779	1
TraesCS6B02G291100	6B	523342735	523352524	TraesCS6A02G264100	6A	487115382	487121882	1
TraesCS6B02G291100	6B	523342735	523352524	TraesCS6D02G250800	6D	354598395	354604792	1
TraesCS3A02G257700	3A	479474776	479476669	TraesCS3D02G257700	3D	360040412	360042611	1
TraesCS3A02G257700	3A	479474776	479476669	TraesCS3B02G290500	3B	466100450	466102900	1
TraesCS3A02G298600	3A	532846752	532851697	TraesCS3B02G337900	3B	544552624	544556874	1
TraesCS3A02G298600	3A	532846752	532851697	TraesCS3D02G303300	3D	418230819	418235744	1
TraesCS6D02G197600	6D	275664522	275665153	TraesCS6B02G244900	6B	437458858	437459166	1
TraesCS2D02G349000	2D	446726800	446727917	TraesCS2A02G350800	2A	590965353	590966258	1
TraesCS2D02G349000	2D	446726800	446727917	TraesCS2B02G369100	2B	526733268	526734441	1
TraesCS7B02G449400	7B	711538692	711539944	TraesCS7A02G532600	7A	711324487	711325608	1
TraesCS7B02G449400	7B	711538692	711539944	TraesCS1A02G018200	1A	9468842	9469968	1
TraesCS7B02G449400	7B	711538692	711539944	TraesCS7D02G519700	7D	617605601	617606867	1
TraesCS4A02G266700	4A	578553089	578559845	TraesCS4D02G047500	4D	23316722	23323910	1
TraesCS4A02G266700	4A	578553089	578559845	TraesCS4B02G047600	4B	35252349	35258777	1
TraesCS2D02G522300	2D	610931060	610931608	TraesCS3B02G084900	3B	53523874	53524470	0
TraesCS2D02G522300	2D	610931060	610931608	TraesCS2B02G496100	2B	692956329	692956877	0
TraesCS2D02G522300	2D	610931060	610931608	TraesCS6B02G266400	6B	479000397	479000945	0
TraesCS2D02G522300	2D	610931060	610931608	TraesCS3B02G029400	3B	13424474	13425011	0
TraesCS2D02G522300	2D	610931060	610931608	TraesCS2B02G471200	2B	667898805	667899353	0
TraesCS2D02G522300	2D	610931060	610931608	TraesCS7B02G464500	7B	720988210	720988758	0
TraesCS2D02G522300	2D	610931060	610931608	TraesCS3B02G075500	3B	46394700	46395248	0
TraesCS2D02G522300	2D	610931060	610931608	TraesCS2B02G578900	2B	767054480	767054976	0
TraesCS2D02G522300	2D	610931060	610931608	TraesCS4A02G483100	4A	738256083	738256631	0
TraesCS1A02G325100	1A	516040780	516041316	TraesCS1B02G338100	1B	566183644	566184287	1
TraesCS1A02G325100	1A	516040780	516041316	TraesCS1D02G325800	1D	418661273	418667373	1
TraesCS4A02G355300	4A	629422546	629424435	TraesCS5D02G517000	5D	539070176	539072484	1
TraesCS7A02G526700	7A	708361477	708365723	TraesCS3D02G516300	3D	600153683	600158550	1
TraesCS7A02G526700	7A	708361477	708365723	TraesCS2B02G562700	2B	754920037	754927066	0
TraesCS3B02G274100	3B	441455941	441461088	TraesCS3A02G245500	3A	459956028	459961155	1
TraesCS3B02G274100	3B	441455941	441461088	TraesCS3D02G246000	3D	342516916	342521973	1
TraesCS7A02G298100	7A	403187714	403190553					
TraesCS2B02G571700	2B	761981457	761992012	TraesCS2A02G541400	2A	752867479	752871351	1
TraesCS2B02G571700	2B	761981457	761992012	TraesCS2D02G542600	2D	621063729	621066864	1
TraesCSU02G257100	Un	398828607	398828861					
TraesCS4D02G047200	4D	22584779	22590611	TraesCS4A02G267100	4A	579519072	579523895	1
TraesCS4D02G047200	4D	22584779	22590611	TraesCS4B02G047200	4B	34571435	34581928	1
TraesCS1A02G424900	1A	579861533	579863608	TraesCS1B02G459300	1B	673173244	673175613	1
TraesCS1A02G424900	1A	579861533	579863608	TraesCS1D02G433900	1D	483142065	483144469	1
TraesCS7B02G131400	7B	158367322	158393174	TraesCS7A02G232900	7A	204159972	204189664	1
TraesCS7B02G131400	7B	158367322	158393174	TraesCS7D02G233100	7D	194469349	194498346	1
TraesCS6B02G089900	6B	65157921	65158427					
TraesCS1B02G151100	1B	235898002	235898295	TraesCS7D02G486200	7D	596674532	596676113	1
TraesCS1B02G038000	1B	17884038	17886088					
TraesCS2A02G400400	2A	653686146	653688894	TraesCS2D02G398000	2D	509953493	509956102	1
TraesCS2A02G400400	2A	653686146	653688894	TraesCS2B02G418500	2B	599665545	599668047	1
TraesCS7D02G528800	7D	623552676	623556660	TraesCS7A02G543100	7A	719579684	719583858	1
TraesCS2B02G288100	2B	397604150	397606976	TraesCS2D02G268400	2D	328468647	328470820	1
TraesCS2B02G288100	2B	397604150	397606976	TraesCS2A02G269400	2A	434984367	434986371	1
TraesCS2A02G171000	2A	126640678	126644046	TraesCS2D02G178700	2D	122392726	122395605	1
TraesCS2A02G171000	2A	126640678	126644046	TraesCS2B02G197400	2B	175409644	175411988	1
TraesCSU02G209100	Un	311229206	311229800					
TraesCS2D02G395200	2D	506523936	506524899	TraesCS2A02G397400	2A	651395510	651396535	1
TraesCS2D02G395200	2D	506523936	506524899	TraesCS2A02G397600	2A	651444239	651445207	1
TraesCS1D02G358700	1D	442378256	442378573					
TraesCS5A02G233900	5A	450163910	450168765	TraesCS5D02G240800	5D	349864137	349869118	1
TraesCS5A02G233900	5A	450163910	450168765	TraesCS5B02G232400	5B	410530931	410535980	1
TraesCS2D02G264300	2D	323088970	323093594	TraesCS2A02G259400	2A	407371147	407376012	1
TraesCS2D02G264300	2D	323088970	323093594	TraesCS2B02G282500	2B	390941553	390946388	1
TraesCS7B02G424300	7B	693254624	693258802	TraesCS7A02G512500	7A	699863100	699865907	1
TraesCS5D02G209500	5D	316248925	316250097	TraesCS5B02G201800	5B	366011671	366013064	1
TraesCS5D02G209500	5D	316248925	316250097	TraesCS5A02G203100	5A	410805850	410807077	1
TraesCS1D02G189400	1D	261839408	261842047	TraesCS1B02G195100	1B	350025824	350028386	1
TraesCS1D02G189400	1D	261839408	261842047	TraesCS1A02G187300	1A	338214692	338217213	1
TraesCS5B02G562400	5B	708244384	708248056	TraesCS5D02G567000	5D	565041893	565045239	1
TraesCS7A02G378900	7A	554488225	554489028	TraesCS7B02G280800	7B	513768548	513768865	1
TraesCS7A02G378900	7A	554488225	554489028	TraesCS7D02G375800	7D	486104671	486105753	1
TraesCS5B02G446600	5B	618120329	618124824	TraesCS5D02G449900	5D	498621454	498626446	1
TraesCS5B02G446600	5B	618120329	618124824	TraesCS5A02G442500	5A	622986185	622990751	1
TraesCS7A02G397000	7A	575292120	575292488	TraesCS3B02G236100	3B	368852960	368853328	0
TraesCS3A02G527200	3A	741624913	741625248	TraesCS3D02G532700	3D	608511239	608512270	1
TraesCS3A02G527200	3A	741624913	741625248	TraesCS3B02G596000	3B	818926030	818926912	1
TraesCS6A02G048700	6A	24838784	24842716	TraesCS6B02G065400	6B	43280529	43285561	1
TraesCS3B02G219300	3B	263782257	263786678	TraesCS3D02G193900	3D	185058885	185066718	1
TraesCS3B02G219300	3B	263782257	263786678	TraesCS3A02G191300	3A	243862105	243867429	1
TraesCS3D02G230400	3D	313782621	313793848	TraesCS3B02G252600	3B	405787580	405791649	1
TraesCS3D02G230400	3D	313782621	313793848	TraesCS3A02G222700	3A	416300652	416304710	1
TraesCS3D02G159500	3D	129006858	129013191	TraesCS3B02G178500	3B	182754054	182755323	1
TraesCS3D02G159500	3D	129006858	129013191	TraesCS3A02G151500	3A	140956483	140957744	1
TraesCS3D02G279800	3D	388324198	388325981	TraesCS3A02G280000	3A	509375867	509377717	1
TraesCS3D02G279800	3D	388324198	388325981	TraesCS3B02G313900	3B	504960463	504962109	1
TraesCS1A02G213600	1A	376784997	376786845	TraesCS1D02G216400	1D	302086001	302087886	1
TraesCS1A02G213600	1A	376784997	376786845	TraesCS1B02G227100	1B	407771885	407773849	1
TraesCS4D02G059600	4D	35476875	35481038	TraesCS4A02G255000	4A	567181384	567185511	1
TraesCS4D02G059600	4D	35476875	35481038	TraesCS4B02G060000	4B	51679625	51683720	1
TraesCS5D02G139500	5D	222434226	222436364	TraesCS5A02G135000	5A	304925583	304927682	1
TraesCS5D02G139500	5D	222434226	222436364	TraesCS5B02G133800	5B	250565474	250567236	1
TraesCS4A02G281400	4A	589503363	589507880	TraesCS4B02G031800	4B	23665418	23670136	1
TraesCS4A02G281400	4A	589503363	589507880	TraesCS4D02G029500	4D	13060206	13065244	1
TraesCS2B02G040100	2B	18196545	18197934	TraesCS2A02G026800	2A	12315023	12316569	1
TraesCS2B02G040100	2B	18196545	18197934	TraesCS2D02G028900	2D	11823401	11824898	1
TraesCS7B02G136500	7B	168352026	168353811	TraesCS7A02G240900	7A	216418444	216420107	1
TraesCS7B02G136500	7B	168352026	168353811	TraesCS7D02G240000	7D	204445560	204449490	1
TraesCS4D02G280600	4D	451680612	451681025					
TraesCS3B02G534700	3B	774125255	774126319	TraesCS3D02G482100	3D	579614336	579615508	1
TraesCS1A02G081000	1A	63761684	63763335					
TraesCS1D02G020400	1D	8796980	8798800	TraesCS1A02G020800	1A	10126424	10128313	1
TraesCS6D02G153000	6D	127083857	127085044	TraesCS6B02G191800	6B	226139682	226144829	1
TraesCS6D02G153000	6D	127083857	127085044	TraesCS6A02G159500	6A	151523411	151528412	1
TraesCS6D02G071300	6D	36093105	36106214					
TraesCS5A02G477800	5A	651685778	651686196					
TraesCS3B02G191500	3B	204286829	204295511	TraesCS3A02G160900	3A	161451259	161459742	1
TraesCS3B02G191500	3B	204286829	204295511	TraesCS3D02G168100	3D	142481359	142490382	1
TraesCS5A02G504600	5A	670251004	670251486	TraesCS4D02G330100	4D	488496069	488496624	1
TraesCS5A02G504600	5A	670251004	670251486	TraesCS4B02G334000	4B	625118770	625119268	1
TraesCS5A02G376800	5A	574399521	574400834	TraesCS5B02G380300	5B	558284191	558285476	1
TraesCS5A02G376800	5A	574399521	574400834	TraesCS5D02G386700	5D	456592201	456593565	1
TraesCS7A02G081700	7A	47006529	47008551					
TraesCS7D02G196700	7D	153310435	153314664	TraesCS7A02G195200	7A	154560366	154564714	1
TraesCS7D02G196700	7D	153310435	153314664	TraesCS7B02G100800	7B	115286039	115287638	1
TraesCS4B02G273300	4B	551048125	551052171	TraesCS4A02G032300	4A	24857876	24862614	1
TraesCS4B02G273300	4B	551048125	551052171	TraesCS4D02G272200	4D	442549374	442553458	1
TraesCS2B02G570200	2B	760899181	760899738	TraesCS3D02G197200	3D	202629429	202629986	0
TraesCS2B02G570200	2B	760899181	760899738	TraesCS5D02G546800	5D	555231788	555232345	0
TraesCS6D02G208100	6D	293493947	293495810	TraesCS6A02G226900	6A	427193836	427194674	1
TraesCS4B02G346800	4B	640325992	640326979	TraesCS2A02G296600	2A	510804400	510805323	1
TraesCS4B02G346800	4B	640325992	640326979	TraesCS2D02G294500	2D	376814416	376815037	1
TraesCS2A02G218100	2A	205133244	205138027	TraesCS2B02G243500	2B	247625181	247631731	1
TraesCS3D02G370400	3D	484286614	484289178	TraesCS3A02G377300	3A	627251691	627254358	1
TraesCS3D02G370400	3D	484286614	484289178	TraesCS3B02G410000	3B	647077725	647079947	1
TraesCS7B02G373000	7B	638881377	638885540	TraesCS7D02G458400	7D	576281486	576285471	1
TraesCS7B02G373000	7B	638881377	638885540	TraesCS7A02G471000	7A	667210315	667214538	1
TraesCS5B02G101000	5B	134049962	134050689	TraesCS5A02G094800	5A	131802903	131803214	1
TraesCS5B02G101000	5B	134049962	134050689	TraesCS5D02G107300	5D	120896949	120897260	1
TraesCS3D02G443000	3D	552727759	552728501	TraesCS3B02G487000	3B	733270845	733271683	1
TraesCS3D02G443000	3D	552727759	552728501	TraesCS3B02G487100	3B	733349775	733350455	1
TraesCS3D02G443000	3D	552727759	552728501	TraesCS3B02G486800	3B	733080151	733081055	1
TraesCS3D02G443000	3D	552727759	552728501	TraesCS3A02G450100	3A	688993049	688993639	1
TraesCS6D02G038000	6D	15710039	15711562					
TraesCS6B02G179300	6B	199739891	199743275	TraesCS6D02G141200	6D	110867220	110870377	1
TraesCS1B02G051100	1B	30879167	30883218	TraesCS1A02G035000	1A	18289937	18293936	1
TraesCS1B02G051100	1B	30879167	30883218	TraesCS1D02G036300	1D	16965512	16972858	1
TraesCS7D02G547400	7D	633515996	633518419	TraesCS7A02G563600	7A	733569846	733572047	1
TraesCS3D02G337900	3D	450478118	450483417	TraesCS3B02G376300	3B	592608698	592613654	1
TraesCS3D02G337900	3D	450478118	450483417	TraesCS3A02G344400	3A	593999825	594004169	1
TraesCS7B02G301100	7B	538125330	538128232	TraesCS7A02G400900	7A	580654769	580657340	1
TraesCS7B02G301100	7B	538125330	538128232	TraesCS7D02G394800	7D	509697766	509700373	1
TraesCS4B02G192900	4B	416151157	416152415					
TraesCS2B02G505400	2B	699281542	699286967	TraesCS2D02G479900	2D	580385880	580391168	1
TraesCS2B02G505400	2B	699281542	699286967	TraesCS2A02G480500	2A	718223669	718229167	1
TraesCS5D02G322200	5D	414011970	414014479	TraesCS5A02G316000	5A	526523335	526525925	1
TraesCS5D02G322200	5D	414011970	414014479	TraesCS6B02G369400	6B	643185762	643188101	1
TraesCS1D02G410700	1D	472402084	472403142					
TraesCS7B02G151200	7B	200895165	200897790	TraesCS7A02G254900	7A	241798510	241801233	1
TraesCS7B02G151200	7B	200895165	200897790	TraesCS7D02G253500	7D	229889700	229892473	1
TraesCS1B02G289500	1B	504504929	504507288	TraesCS1A02G280500	1A	478256374	478258875	1
TraesCS1B02G289500	1B	504504929	504507288	TraesCS1D02G279600	1D	377569946	377572312	1
TraesCS4B02G187400	4B	407807408	407808508	TraesCS4D02G188700	4D	328184221	328186208	1
TraesCS4B02G187400	4B	407807408	407808508	TraesCS4A02G117000	4A	142343873	142346502	1
TraesCS5D02G456600	5D	503214325	503216258					
TraesCS4D02G321600	4D	484149604	484156045	TraesCS4B02G324500	4B	615556773	615563195	1
TraesCS4D02G321600	4D	484149604	484156045	TraesCS5A02G497000	5A	664483048	664490154	1
TraesCS2A02G446400	2A	695505011	695505933	TraesCS1D02G102900	1D	92234960	92236394	1
TraesCS5A02G294600	5A	503518062	503522610	TraesCS5D02G302000	5D	398524800	398529882	1
TraesCS5A02G294600	5A	503518062	503522610	TraesCS5B02G293900	5B	478476296	478480827	1
TraesCS7D02G150600	7D	99872181	99874372	TraesCS7B02G052700	7B	55065021	55067285	1
TraesCS7D02G150600	7D	99872181	99874372	TraesCS7A02G149000	7A	102288552	102290542	1
TraesCS1D02G113500	1D	109942437	109948581	TraesCS1B02G132200	1B	166076267	166080182	1
TraesCS4A02G314700	4A	605011319	605018947					
TraesCS2A02G123000	2A	72740387	72741633	TraesCS2D02G125800	2D	73288251	73289754	1
TraesCS7D02G116300	7D	71543576	71552110	TraesCS7B02G016500	7B	14063107	14072046	1
TraesCS3D02G154200	3D	121531714	121532001	TraesCS3A02G135900	3A	113365783	113366070	0
TraesCS7B02G314600	7B	562158511	562165718	TraesCS7D02G407800	7D	525709142	525716330	1
TraesCS7B02G314600	7B	562158511	562165718	TraesCS7A02G414700	7A	606183275	606190868	1
TraesCS1B02G239100	1B	427496290	427496838					
TraesCS1A02G058500	1A	39348700	39357763	TraesCS1B02G075900	1B	58705083	58709354	1
TraesCS1A02G058500	1A	39348700	39357763	TraesCS1D02G059600	1D	39868260	39872735	1
TraesCS7A02G284700	7A	324923798	324926579	TraesCS7D02G282500	7D	288459877	288462554	1
TraesCS7A02G284700	7A	324923798	324926579	TraesCS7B02G200400	7B	363286467	363289088	1
TraesCS4A02G207800	4A	501122785	501125068	TraesCS4D02G109000	4D	88140786	88142982	1
TraesCS4A02G207800	4A	501122785	501125068	TraesCS4B02G111300	4B	124915768	124918316	1
TraesCS2D02G512900	2D	604287559	604291283	TraesCS2B02G539800	2B	734916499	734920194	1
TraesCS3D02G269300	3D	374012109	374013973	TraesCS3B02G303500	3B	487768007	487769940	1
TraesCS3D02G269300	3D	374012109	374013973	TraesCS3A02G269500	3A	496036698	496038609	1
TraesCS5B02G049800	5B	55307942	55311836	TraesCS5D02G055700	5D	52254038	52258069	1
TraesCS5B02G049800	5B	55307942	55311836	TraesCS5A02G045700	5A	41348473	41352556	1
TraesCS7A02G053900	7A	26049519	26050068					
TraesCS5B02G510700	5B	676169328	676170055					
TraesCS5D02G426700	5D	485059400	485060938					
TraesCS1A02G272400	1A	465501523	465505875	TraesCS1B02G282400	1B	491238158	491242657	1
TraesCS1A02G272400	1A	465501523	465505875	TraesCS1D02G272500	1D	366243175	366249285	1
TraesCS1A02G290600	1A	487078614	487079353					
TraesCS7A02G179200	7A	133667919	133668350	TraesCS7D02G181100	7D	134483626	134484036	1
TraesCS2D02G202300	2D	154291950	154292813	TraesCS2A02G185400	2A	146724731	146725462	1
TraesCS2D02G202300	2D	154291950	154292813	TraesCS2B02G221900	2B	211699200	211700274	1
TraesCS3D02G143200	3D	105704626	105709481					
TraesCS5A02G485000	5A	656220573	656222930	TraesCS5D02G498500	5D	528294425	528296584	1
TraesCS5A02G485000	5A	656220573	656222930	TraesCS5B02G498400	5B	665024295	665026600	1
TraesCS6A02G372600	6A	596421201	596422053	TraesCS6D02G356700	6D	450826783	450827347	1
TraesCS6A02G372600	6A	596421201	596422053	TraesCS6B02G410500	6B	684503798	684504691	1
TraesCS5B02G183600	5B	334056538	334056868					
TraesCS5D02G306100	5D	402706135	402716202	TraesCS5A02G299200	5A	508612663	508620073	1
TraesCS5D02G306100	5D	402706135	402716202	TraesCS5B02G298700	5B	482171318	482177647	1
TraesCS6D02G165200	6D	144468419	144471802	TraesCS6B02G205500	6B	257565483	257568930	1
TraesCS6D02G165200	6D	144468419	144471802	TraesCS6A02G179800	6A	202353283	202356657	1
TraesCS1B02G209600	1B	380461431	380467221	TraesCS1D02G198400	1D	279942257	279946250	1
TraesCS1B02G209600	1B	380461431	380467221	TraesCS1A02G194800	1A	351878373	351882317	1
TraesCS6B02G327300	6B	576850231	576854821	TraesCS6D02G277600	6D	386220607	386224561	1
TraesCS6B02G327300	6B	576850231	576854821	TraesCS6A02G297800	6A	531278047	531282263	1
TraesCS2B02G275900	2B	381295429	381298137	TraesCS2D02G257600	2D	313633892	313636777	1
TraesCS2B02G275900	2B	381295429	381298137	TraesCS2A02G266200	2A	423206086	423208850	1
TraesCS6D02G385800	6D	463642979	463644392	TraesCS6B02G444400	6B	706996816	706998197	1
TraesCS6D02G385800	6D	463642979	463644392	TraesCS6A02G402300	6A	610285387	610286863	1
TraesCS5D02G048800	5D	46606054	46608816	TraesCS5B02G043600	5B	48724448	48727446	1
TraesCS5B02G533300	5B	690170272	690171093	TraesCS4A02G341200	4A	621793154	621793513	1
TraesCS5B02G533300	5B	690170272	690171093	TraesCS5D02G531500	5D	547049137	547049953	1
TraesCS5B02G096600	5B	127772354	127772977					
TraesCS3B02G367000	3B	579287998	579292233	TraesCS3A02G336200	3A	582944918	582949429	1
TraesCS3B02G367000	3B	579287998	579292233	TraesCS3D02G329200	3D	442043262	442047720	1
TraesCS3B02G252900	3B	405951277	405957822	TraesCS3D02G230100	3D	313601058	313608545	1
TraesCS3B02G252900	3B	405951277	405957822	TraesCS3A02G222300	3A	416126572	416133345	1
TraesCS5A02G475000	5A	650475429	650475689	TraesCS5D02G487500	5D	522299950	522300210	1
TraesCS3D02G167900	3D	142476504	142479067	TraesCS3A02G160700	3A	161446234	161448924	1
TraesCS3D02G167900	3D	142476504	142479067	TraesCS3B02G191300	3B	204281878	204284569	1
TraesCS1A02G318600	1A	509848073	509849504	TraesCS1D02G318100	1D	412746121	412747601	1
TraesCS1A02G318600	1A	509848073	509849504	TraesCS1D02G318200	1D	412763284	412764764	1
TraesCS1A02G318600	1A	509848073	509849504	TraesCS1D02G317800	1D	412642134	412643584	0
TraesCS1A02G318600	1A	509848073	509849504	TraesCS1B02G330800	1B	556663045	556664645	1
TraesCS2A02G067000	2A	30079116	30080690	TraesCS2D02G065400	2D	27887631	27889099	1
TraesCS7D02G407700	7D	525376248	525380313	TraesCS7B02G314500	7B	561749178	561753441	1
TraesCS7D02G407700	7D	525376248	525380313	TraesCS7A02G414600	7A	605772913	605777061	1
TraesCS3D02G192700	3D	182593882	182595749	TraesCS3B02G218400	3B	261785782	261787806	1
TraesCS3D02G192700	3D	182593882	182595749	TraesCS3A02G189200	3A	231669384	231671185	1
